"id_assignment","id_job_type","service_date","pitch","sandbags","created_by","updated_by","tarp_situation","plywoods","s2x4x8","s2x4x12","s2x4x16","job_info"
"115","1","2019-1-28",,"15","73","73",,,,,,
"113","1","2019-1-28",,"15","73","73",,,,,,
"106","1","2019-1-28",,"15","73","73",,,,,,
"110","1","2019-1-28",,"20","73","73",,,,,,
"118","1","2019-1-28",,"116","73","73",,,,,,
"116","1","2019-1-29",,"26","73","73",,,,,,
"122","1","1970-1-1",,"26","73","73",,,,,,
"120","1","2019-1-29",,"12","73","73",,,,,,
"125","1","2019-1-29",,"27","73","73",,,,,,
"129","1","2019-1-30",,"20","73","73",,,,,,
"140","1","2019-2-1",,"15","73","73",,,,,,
"134","1","2019-2-1",,"30","73","73",,,,,,
"133","1","2019-2-1",,"18","73","73",,,,,,
"138","1","2019-2-1",,"22","73","73",,,,,,
"127","1","2019-1-31",,"28","73","73",,,,,,
"68","2","2019-1-31",,"0","73","73","1",,,,,
"93","2","2019-1-31",,"0","73","73","1",,,,,
"136","1","2019-2-2",,"29","73","73",,,,,,
"135","1","2019-2-2",,"15","73","73",,,,,,
"114","1","2019-2-2",,"28","73","73",,,,,,
"137","1","2019-2-2",,"38","73","73",,,,,,
"119","2","2019-1-30",,"0","73","73","1",,,,,
"126","1","2019-1-29",,"14","73","73",,,,,,
"130","1","2019-1-31",,"25","73","73",,,,,,
"132","2","2019-2-4",,"0","73","73","1",,,,,
"82","2","2019-2-4",,"10","73","73","2",,,,,
"139","1","2019-1-29",,"20","73","73",,,,,,
"146","1","2019-2-5",,"30","73","73",,,,,,
"148","1","2019-2-4",,"16","73","73",,,,,,
"147","2","2019-2-7",,"21","73","73","2",,,,,
"143","1","2019-2-7",,"20","73","73",,,,,,
"149","1","2019-2-7",,"19","73","73",,,,,,
"151","1","2019-2-8",,"0","73","73",,,,,,
"152","1","2019-2-8",,"25","73","73",,,,,,
"156","4","2019-2-9",,"25","73","73",,,,,,
"155","2","2019-2-9",,"0","73","73","1",,,,,
"153","1","2019-2-9",,"30","73","73",,,,,,
"154","1","2019-2-9",,"17","73","73",,,,,,
"98","2","2019-2-11",,"0","73","73","2",,,,,
"142","1","2019-2-8",,"18","73","73",,,,,,
"163","1","2019-2-13",,"14","73","73",,,,,,
"159","1","2019-2-13",,"24","73","73",,,,,,
"162","1","2019-2-13",,"23","73","73",,,,,,
"161","1","2019-2-13",,"23","73","73",,,,,,
"164","6","2019-2-14",,,"73","73",,,,,,"Roof Tile Sample removal as requested by Adjuster"
"165","6","2019-2-14",,,"73","73",,,,,,"Tile Removal"
"166","6","2019-2-14",,,"73","73",,,,,,"Tile removal"
"167","7","2019-2-14",,,"73","73",,,,,,"LADDER ASSIST"
"168","1","2019-2-14",,"19","73","73",,,,,,
"157","2","2018-12-14",,"0","73","73","1",,,,,
"172","1","2019-2-14",,"15","73","73",,,,,,
"171","1","2019-2-14",,"14","73","73",,,,,,
"174","1","2019-2-15",,"25","73","73",,,,,,
"170","1","2019-2-15",,"20","73","73",,,,,,
"183","1","2019-2-15",,"24","73","73",,,,,,
"182","1","2019-2-15",,"35","73","73",,,,,,
"180","1","2019-2-16",,"14","73","73",,,,,,
"175","1","2019-2-16",,"35","73","73",,,,,,
"181","1","2019-2-16",,"23","73","73",,,,,,
"160","2","2019-2-18",,"0","73","73","1",,,,,
"185","1","2019-2-19",,"56","73","73",,,,,,
"176","2","2019-2-19",,"0","73","73","1",,,,,
"179","2","2019-2-20",,"14","73","73","2",,,,,
"124","2","2019-2-20",,"0","73","73","1",,,,,
"186","1","2019-2-21",,"34","73","73",,,,,,
"189","1","2019-2-22",,"52","73","73",,,,,,
"188","1","2019-2-22",,"45","73","73",,,,,,
"190","9","2019-1-4",,,"73","73",,,,,,"Fire clean up. Deep clean along the entire house."
"191","4","2019-2-26",,"25","73","73",,,,,,
"193","1","2019-2-27",,"22","73","73",,,,,,
"192","1","2019-2-27",,"29","73","73",,,,,,
"196","1","2019-3-1",,"39","73","73",,,,,,
"198","1","2019-3-1",,"29","73","73",,,,,,
"199","1","2019-3-2",,"34","73","73",,,,,,
"201","6","2019-3-6",,,"73","73",,,,,,"Removal of one roof tile for the insurance adjuster."
"200","6","2019-3-6",,,"73","73",,,,,,"Removal of one roof tile for adjuster inspection."
"204","4","2019-3-9",,"40","73","73",,,,,,
"207","1","2019-3-8",,"14","73","73",,,,,,
"184","2","2019-3-11",,"42","73","73","2",,,,,
"209","1","2019-3-11",,"18","73","73",,,,,,
"210","1","2019-3-12",,"16","73","73",,,,,,
"212","1","2019-3-13",,"14","73","73",,,,,,
"194","2","2019-3-12",,"0","73","73","1",,,,,
"203","2","2019-3-14",,"0","73","73","1",,,,,
"205","2","2019-3-14",,"0","73","73","1",,,,,
"213","2","2019-3-14",,"0","73","73","1",,,,,
"211","1","2019-5-15",,"42","73","73",,,,,,
"215","4","2019-3-15",,"38","73","73",,,,,,
"214","1","2019-3-15",,"26","73","73",,,,,,
"223","8","2019-3-16",,,"73","73",,,,,,"64sqft of plywood installed & use of generator-After hours job"
"224","4","2019-3-19",,"0","73","73",,,,,,
"234","1","2019-3-19",,"12","73","73","",,,,,
"235","1","2019-3-19",,"26","73","73","",,,,,
"249","1","2019-3-20",,"28","73","73",,,,,,
"250","1","2019-3-20",,"18","73","73",,,,,,
"261","1","2019-3-21",,"68","73","73",,,,,,
"286","1","2019-3-21",,"14","73","73",,,,,,
"290","4","2019-3-22",,"0","73","73",,,,,,
"306","1","2019-3-22",,"28","73","73",,,,,,
"353","1","2019-3-25",,"20","73","73",,,,,,
"220","6","2019-3-26",,,"73","73",,,,,,
"352","1","2019-3-26",,"24","73","73",,,,,,
"316","6","2019-3-26",,,"73","73",,,,,,"Tile removal"
"246","2","2019-3-26",,"0","73","73","1",,,,,
"221","6","2019-3-27",,,"73","73",,,,,,
"362","2","2019-3-26",,"0","73","73","1",,,,,
"363","1","2019-3-27",,"30","73","73",,,,,,
"364","1","2019-3-27",,"17","73","73",,,,,,
"365","1","2019-6-28",,"24","73","73",,,,,,
"358","1","2019-3-28",,"39","73","73",,,,,,
"366","1","2019-3-28",,"31","73","73",,,,,,
"357","2","2019-3-28",,"0","73","73",,,,,,
"375","1","2019-3-29",,"22","73","73",,,,,,
"377","1","2019-3-30",,"32","73","73",,,,,,
"380","1","2019-3-31",,"8","73","73",,,,,,
"360","2","2019-4-1",,"0","73","73","1",,,,,
"367","2","2019-4-1",,"0","73","73",,,,,,
"373","2","2019-4-2",,"0","73","73",,,,,,
"384","1","2019-4-3",,"43","73","73",,,,,,
"389","1","2019-4-3",,"30","73","73",,,,,,
"391","1","2019-4-4",,"42","73","73",,,,,,
"392","1","2019-7-8",,"28","73","73",,,,,,
"400","1","2019-4-9",,"37","73","73",,,,,,
"401","8","2019-4-9",,,"73","73",,,,,,"2 plywood 4x8 Ft. French door damaged in the back of the house."
"314","1","2019-3-21",,"97","73","73",,,,,,
"216","2","2019-3-19",,"0","73","73","1",,,,,
"361","1","2019-3-27",,"49","73","73",,,,,,
"382","2","2019-4-10",,"0","73","73","1",,,,,
"404","1","2019-6-10",,"44","73","73",,,,,,
"359","2","2019-4-11",,"0","73","73",,,,,,
"407","1","2019-4-11",,"21","73","73",,,,,,
"406","1","2019-4-14",,"48","73","73",,,,,,
"390","2","2019-4-13",,"0","73","73","1",,,,,
"410","1","2019-4-13",,"22","73","73",,,,,,
"405","1","2019-4-15",,"32","73","73",,,,,,
"396","7","2019-4-15",,,"73","73",,,,,,
"417","1","2019-4-15",,"16","73","73",,,,,,
"426","1","2019-4-16",,"24","73","73",,,,,,
"430","1","2019-4-17",,"58","73","73",,,,,,
"424","4","2019-4-17",,"23","73","73",,,,,,
"434","1","2019-4-17",,"17","73","73",,,,,,
"437","1","2019-4-18",,"23","73","73",,,,,,
"438","1","2019-4-19",,"44","73","73",,,,,,
"444","1","2019-4-19",,"3","73","73",,,,,,
"443","1","2019-4-22",,"9","73","73",,,,,,
"446","1","2019-4-22",,"18","73","73",,,,,,
"448","1","2019-4-22",,"35","73","73",,,,,,
"441","1","2019-4-22",,"32","73","73",,,,,,
"454","1","2019-4-23",,"30","73","73",,,,,,
"476","1","2019-4-24",,"20","73","73",,,,,,
"477","1","2019-4-24",,"14","73","73",,,,,,
"480","1","2019-4-24",,"18","73","73",,,,,,
"481","1","2019-4-25",,"23","73","73",,,,,,
"457","2","2019-4-25",,"0","73","73",,,,,,
"433","2","2019-4-25",,"4","73","73",,,,,,
"479","2","2019-4-29",,"0","73","73",,,,,,
"483","1","2019-4-29",,"20","73","73",,,,,,
"485","1","2019-5-2",,"21","73","73",,,,,,
"478","2","2019-5-2",,"0","73","73",,,,,,
"488","1","2019-5-3",,"18","73","73",,,,,,
"489","1","2019-5-3",,"48","73","73",,,,,,
"495","1","2019-5-3",,"46","73","73",,,,,,
"496","1","2019-5-4",,"49","73","73",,,,,,
"497","1","2019-5-5",,"23","73","73",,,,,,
"498","1","2019-5-6",,"26","73","73",,,,,,
"499","1","2019-5-6",,"35","73","73",,,,,,
"506","1","2019-5-6",,"13","73","73",,,,,,
"504","1","2019-5-6",,"36","73","73",,,,,,
"509","1","2019-5-6",,"20","73","73",,,,,,
"510","1","2019-5-7",,"32","73","73",,,,,,
"511","1","2019-5-7",,"38","73","73",,,,,,
"513","1","2019-5-7",,"48","73","73",,,,,,
"517","4","2019-5-7",,"0","73","73",,,,,,
"500","2","2019-5-7",,"0","73","73",,,,,,
"515","3","2019-5-7",,"4","73","73",,,,,,
"512","2","2019-5-7",,"0","73","73",,,,,,
"514","1","2019-5-7",,"70","73","73",,,,,,
"519","1","2019-5-7",,"34","73","73",,,,,,
"520","1","2019-5-8",,"17","73","73",,,,,,
"518","1","2019-5-8",,"22","73","73",,,,,,
"525","1","2019-5-8",,"16","73","73",,,,,,
"524","1","2019-5-8",,"32","73","73",,,,,,
"528","1","2019-5-8",,"48","73","73",,,,,,
"527","1","2019-5-8",,"16","73","73",,,,,,
"521","1","2019-5-8",,"22","73","73",,,,,,
"530","1","2019-5-9",,"46","73","73",,,,,,
"529","1","2019-5-9",,"75","73","73",,,,,,
"534","1","2019-5-9",,"70","73","73",,,,,,
"526","2","2019-5-10",,"0","73","73",,,,,,
"535","1","2019-5-10",,"11","73","73",,,,,,
"537","1","2019-5-10",,"18","73","73",,,,,,
"539","1","2019-5-10",,"18","73","73",,,,,,
"533","1","2019-5-10",,"45","73","73",,,,,,
"538","1","2019-5-11",,"30","73","73",,,,,,
"58","1","2019-5-11",,"32","73","73",,,,,,
"541","1","2019-5-11",,"32","73","73",,,,,,
"491","2","2019-5-13",,"0","73","73",,,,,,
"532","2","2019-5-13",,"0","73","73",,,,,,
"544","2","2019-5-13",,"0","73","73",,,,,,
"546","1","2019-5-13",,"16","73","73",,,,,,
"549","1","2019-5-14",,"26","73","73",,,,,,
"551","1","2019-5-14",,"10","73","73",,,,,,
"556","1","2019-5-14",,"4","73","73",,,,,,
"555","1","2019-5-15",,"30","73","73",,,,,,
"561","1","2019-5-15",,"47","73","73",,,,,,
"558","1","2019-5-15",,"25","73","73",,,,,,
"564","1","2019-5-16",,"22","73","73",,,,,,
"565","7","2019-5-16",,,"73","73",,,,,,
"563","1","2019-5-17",,"30","73","73",,,,,,
"567","1","2019-5-17",,"13","73","73",,,,,,
"569","1","2019-5-17",,"45","73","73",,,,,,
"503","1","2019-5-17",,"22","73","73",,,,,,
"571","1","2019-5-21",,"13","73","73",,,,,,
"572","1","2019-5-21",,"22","73","73",,,,,,
"568","1","2019-5-21",,"12","73","73",,,,,,
"574","4","2019-5-22",,"25","73","73",,,,,,
"578","1","2019-5-22",,"0","73","73",,,,,,
"579","8","2019-5-23",,,"73","73",,,,,,"sketch on google drive
# Front #
we covered 2x garage gate 117x190 and 1x front door 28x91
# Rigth Side #
we covered 1x side door 30x75 and 2x windows 35x90
# Left Side #
we covered 2x windows 35x90
#Back #
we covered 1x garage gate 117x190, 1x back door 30x75 and 1x big garage gate 117x240"
"582","1","2019-5-23",,"29","73","73",,,,,,
"557","2","2019-5-23",,"0","73","73","1",,,,,
"583","10","2019-5-28",,,"73","73",,,,,,
"584","2","2019-5-28",,"0","73","73","1",,,,,
"580","7","2019-5-29",,,"73","73",,,,,,
"596","2","2019-5-29",,"0","73","73","1",,,,,
"597","1","2019-5-30",,"28","73","73",,,,,,
"592","2","2019-5-31",,"0","73","73","1",,,,,
"600","4","2019-5-31",,"40","73","73",,,,,,
"598","2","2019-6-3",,"0","73","73","1",,,,,
"601","7","2019-6-3",,,"73","73",,,,,,
"602","1","2019-6-3",,"21","73","73",,,,,,
"603","2","2019-6-5",,"0","73","73","1",,,,,
"606","3","2019-6-5",,"12","73","73",,,,,,
"609","1","2019-6-7",,"16","73","73",,,,,,
"610","1","2019-6-7",,"56","73","73",,,,,,
"611","1","2019-6-7",,"20","73","73",,,,,,
"612","1","2019-6-7",,"20","73","73",,,,,,
"613","1","2019-6-8",,"32","73","73",,,,,,
"614","1","2019-6-8",,"35","73","73",,,,,,
"615","1","2019-6-8",,"81","73","73",,,,,,
"617","1","2019-9-9",,"31","73","73",,,,,,
"616","1","2019-6-9",,"30","73","73",,,,,,
"620","1","2019-6-10",,"33","73","73",,,,,,
"626","1","2019-6-10",,"44","73","73",,,,,,
"623","1","2019-6-10",,"20","73","73",,,,,,
"622","1","2019-6-11",,"14","73","73",,,,,,
"627","1","2019-6-11",,"18","73","73",,,,,,
"625","1","2019-6-11",,"33","73","73",,,,,,
"621","1","2019-6-10",,"114","73","73",,,,,,
"608","2","2019-6-5",,"0","73","73","1",,,,,
"630","2","2019-6-12",,"0","73","73",,,,,,
"633","4","2019-6-13",,"45","73","73",,,,,,
"635","1","2019-6-13",,"18","73","73",,,,,,
"638","1","2019-6-13",,"20","73","73",,,,,,
"639","1","2019-6-13",,"38","73","73",,,,,,
"636","2","2019-6-13",,"0","73","73",,,,,,
"640","1","2019-6-13",,"27","73","73",,,,,,
"642","1","2019-6-14",,"34","73","73",,,,,,
"628","2","2019-6-14",,"0","73","73",,,,,,
"643","1","2019-6-14",,"30","73","73",,,,,,
"646","1","2019-6-15",,"69","73","73",,,,,,
"647","1","2019-6-15",,"19","73","73",,,,,,
"645","1","2019-6-22",,"47","73","73",,,,,,
"648","1","2019-6-16",,"18","73","73",,,,,,
"649","1","2019-6-16",,"24","73","73",,,,,,
"650","1","2019-6-16",,"26","73","73",,,,,,
"619","2","2019-6-17",,"0","73","73",,,,,,
"654","1","2019-6-17",,"29","73","73",,,,,,
"652","1","2019-6-17",,"40","73","73",,,,,,
"658","1","2019-6-17",,"16","73","73",,,,,,
"651","1","2019-6-17",,"39","73","73",,,,,,
"662","1","2019-6-17",,"12","73","73",,,,,,
"657","1","2019-6-18",,"57","73","73",,,,,,
"661","1","2019-6-18",,"27","73","73",,,,,,
"663","1","2019-6-18",,"30","73","73",,,,,,
"653","2","2019-6-18",,"0","73","73",,,,,,
"674","1","2019-6-18",,"19","73","73",,,,,,
"664","1","2019-6-18",,"39","73","73",,,,,,
"675","1","2019-6-19",,"11","73","73",,,,,,
"666","1","2019-6-19",,"45","73","73",,,,,,
"667","1","2019-6-19",,"19","73","73",,,,,,
"681","3","2019-6-19",,"10","73","73",,,,,,
"669","1","2019-6-19",,"33","73","73",,,,,,
"684","1","2019-6-19",,"16","73","73",,,,,,
"683","1","2019-6-20",,"17","73","73",,,,,,
"673","2","2019-6-19",,"0","73","73","1",,,,,
"680","1","2019-6-20",,"57","73","73",,,,,,
"685","1","2019-6-20",,"13","73","73",,,,,,
"688","1","2019-6-20",,"47","73","73",,,,,,
"687","1","2019-6-20",,"23","73","73",,,,,,
"691","1","2019-6-21",,"22","73","73",,,,,,
"676","2","2019-6-20",,"0","73","73","1",,,,,
"693","7","2019-6-21",,,"73","73",,,,,,
"694","1","2019-6-21",,"19","73","73",,,,,,
"697","1","2019-6-21",,"28","73","73",,,,,,
"695","4","2019-6-21",,"68","73","73",,,,,,
"698","1","2019-6-24",,"29","73","73",,,,,,
"692","1","2019-6-24",,"0","73","73",,,,,,
"668","1","2019-6-24",,"25","73","73",,,,,,
"678","2","2019-6-24",,"0","73","73",,,,,,
"708","1","2019-6-24",,"24","73","73",,,,,,
"709","1","2019-6-24",,"37","73","73",,,,,,
"707","2","2019-6-25",,"0","73","73",,,,,,
"712","1","2019-6-25",,"21","73","73",,,,,,
"713","1","2019-6-25",,"27","73","73",,,,,,
"714","1","2019-6-26",,"16","73","73",,,,,,
"718","1","2019-6-26",,"37","73","73",,,,,,
"686","2","2019-6-27",,"0","73","73",,,,,,
"710","2","2019-6-27",,"0","73","73",,,,,,
"719","1","2019-6-27",,"35","73","73",,,,,,
"722","1","2019-6-27",,"33","73","73",,,,,,
"725","1","2019-6-29",,"34","73","73",,,,,,
"726","3","2019-6-29",,"6","73","73",,,,,,
"723","2","2019-7-1",,"0","73","73",,,,,,
"724","1","2019-7-1",,"20","73","73",,,,,,
"730","1","2019-7-2",,"20","73","73",,,,,,
"731","8","2019-7-2",,,"73","73",,,,,,"5x 2x4 8” 
2 sheets of plywood"
"629","2","2019-7-3",,"0","73","73",,,,,,
"729","2","2019-7-3",,"0","73","73","1",,,,,
"715","2","2019-7-3",,"0","73","73","1",,,,,
"732","1","2019-7-3",,"19","73","73",,,,,,
"737","1","2019-7-3",,"20","73","73",,,,,,
"736","1","2019-7-3",,"22","73","73",,,,,,
"735","1","2019-7-3",,"22","73","73",,,,,,
"734","1","2019-7-5",,"16","73","73",,,,,,
"733","2","2019-7-5",,"0","73","73","1",,,,,
"720","2","2019-7-2",,"0","73","73","1",,,,,
"740","1","2019-7-6",,"23","73","73",,,,,,
"741","2","2019-7-6",,"0","73","73","1",,,,,
"744","1","2019-7-8",,"23","73","73",,,,,,
"749","1","2019-7-9",,"20","73","73",,,,,,
"748","1","2019-7-9",,"22","73","73",,,,,,
"751","1","2019-7-9",,"13","73","73",,,,,,
"739","2","2019-7-10",,"0","73","73","1",,,,,
"752","1","2019-7-10",,"25","73","73",,,,,,
"738","2","2019-7-10",,"0","73","73",,,,,,
"755","1","2019-7-10",,"15","73","73",,,,,,
"753","1","2019-7-10",,"7","73","73",,,,,,
"776","1","2019-7-10",,"26","73","73",,,,,,
"776","1","2019-7-10",,"26","73","73",,,,,,
"780","1","2019-7-11",,"6","73","73",,,,,,
"796","1","2019-7-11",,"50","73","73",,,,,,
"798","1","2019-7-11",,"30","73","73",,,,,,
"802","3","2019-7-11",,"29","73","73",,,,,,
"689","2","2019-7-11",,"0","73","73",,,,,,
"805","10","2019-7-11",,,"73","73",,,,,,
"792","1","2019-7-11",,"40","73","73",,,,,,
"799","1","2019-7-11",,"20","73","73",,,,,,
"826","1","2019-7-12",,"42","73","73",,,,,,
"827","1","2019-7-13",,"45","73","73",,,,,,
"832","1","2019-7-14",,"39","73","73",,,,,,
"831","1","2019-7-14",,"38","73","73",,,,,,
"836","1","2019-7-14",,"24","73","73",,,,,,
"833","1","2019-7-14",,"40","73","73",,,,,,
"842","1","2019-7-15",,"24","73","73",,,,,,
"840","1","2019-7-15",,"38","73","73",,,,,,
"839","1","2019-7-15",,"13","73","73",,,,,,
"844","1","2019-7-15",,"4","73","73",,,,,,
"846","1","2019-7-15",,"52","73","73",,,,,,
"845","1","2019-7-15",,"19","73","73",,,,,,
"851","1","2019-7-16",,"6","73","73",,,,,,
"828","2","2019-7-16",,"0","73","73","1",,,,,
"847","2","2019-7-16",,"0","73","73","1",,,,,
"852","1","2019-7-16",,"15","73","73",,,,,,
"848","1","2019-7-16",,"8","73","73",,,,,,
"855","1","2019-7-16",,"19","73","73",,,,,,
"856","1","2019-7-16",,"20","73","73",,,,,,
"742","2","2019-7-17",,"0","73","73","1",,,,,
"858","1","2019-7-17",,"26","73","73",,,,,,
"706","2","2019-7-18",,"0","73","73",,,,,,
"857","1","2019-7-18",,"24","73","73",,,,,,
"861","1","2019-7-18",,"27","73","73",,,,,,
"862","1","2019-7-18",,"46","73","73",,,,,,
"853","2","2019-7-19",,"0","73","73","1",,,,,
"864","1","2019-7-19",,"18","73","73",,,,,,
"868","2","2019-7-19",,"0","73","73",,,,,,
"843","2","2019-7-19",,"0","73","73",,,,,,
"870","1","2019-7-19",,"18","73","73",,,,,,
"870","1","2019-7-19",,"18","73","73",,,,,,
"866","1","2019-7-19",,"51","73","73",,,,,,
"867","2","2019-7-20",,"0","73","73",,,,,,
"872","1","2019-7-20",,"18","73","73",,,,,,
"863","1","2019-7-19",,"34","73","73",,,,,,"Tree fell into the roof creating holes in many different areas, we created a wood frame support to be able to install the tarp correctly.

12 sheets of plywood 4x8 ft.. each was used.

10 pieces of 2x4 inches of lumber with 12 linear ft. Was used."
"876","1","2019-7-21",,"20","73","73",,,,,,
"873","1","2019-7-20",,"25","73","73",,,,,,
"877","1","2019-7-22",,"29","73","73",,,,,,
"875","1","2019-7-22",,"26","73","73",,,,,,
"879","1","2019-7-22",,"17","73","73",,,,,,
"878","1","2019-7-22",,"23","73","73",,,,,,
"871","1","2019-7-22",,"68","73","73",,,,,,
"859","2","2019-7-23",,"0","73","73","1",,,,,
"881","1","2019-7-23",,"24","73","73",,,,,,
"884","1","2019-7-24",,"30","73","73",,,,,,
"885","1","2019-7-24",,"25","73","73",,,,,,
"886","1","2019-7-25",,"25","73","73",,,,,,
"880","2","2019-7-25",,"0","73","73",,,,,,
"865","2","2019-7-25",,"36","73","73",,,,,,
"891","1","2019-7-25",,"14","73","73",,,,,,
"893","1","2019-7-25",,"12","73","73",,,,,,
"894","1","2019-7-26",,"18","73","73",,,,,,
"892","1","2019-7-25",,"8","73","73",,,,,,
"895","1","2019-7-26",,"33","73","73",,,,,,
"883","2","2019-7-26",,"0","73","73",,,,,,
"898","1","2019-7-26",,"12","73","73",,,,,,
"903","1","2019-7-26",,"18","73","73",,,,,,
"899","1","2019-7-26",,"12","73","73",,,,,,
"897","1","2019-7-26",,"40","73","73",,,,,,
"902","1","2019-7-26",,"30","73","73",,,,,,
"911","1","2019-7-27",,"22","73","73",,,,,,
"901","1","2019-7-27",,"27","73","73",,,,,,
"910","1","2019-7-27",,"29","73","73",,,,,,
"900","1","2019-7-27",,"19","73","73",,,,,,
"905","2","2019-7-29",,"0","73","73",,,,,,
"915","1","2019-7-29",,"16","73","73",,,,,,
"916","1","2019-7-30",,"56","73","73",,,,,,
"913","1","2019-7-30",,"28","73","73",,,,,,
"921","1","2019-7-30",,"25","73","73",,,,,,
"889","2","2019-7-30",,"40","73","73",,,,,,
"923","8","2019-7-30",,,"73","73",,,,,,"Start at 07:20 pm end 09:30pm.
2x sheets of plywood 
2x 2/4 8”
3x 2/4 10”
5 bags of trash 
And we put a tarp over the roof to cover window back of the home 14x 30 with 7 sandbags, anchoring and tarp alteration."
"912","1","2019-7-31",,"22","73","73",,,,,,
"917","2","2019-7-31",,"0","73","73",,,,,,
"918","7","2019-7-31",,,"73","73",,,,,,
"924","2","2019-7-31",,"0","73","73",,,,,,
"927","1","2019-7-31",,"16","73","73",,,,,,
"925","4","2019-7-31",,"30","73","73",,,,,,
"928","1","2019-7-31",,"11","73","73",,,,,,
"926","1","2019-7-31",,"42","73","73",,,,,,
"882","11","2019-7-31",,,"73","73",,,,,,
"896","7","2019-8-1",,,"73","73",,,,,,
"929","1","2019-7-31",,"35","73","73",,,,,,
"922","2","2019-8-1",,"0","73","73","1",,,,,
"932","1","2019-8-1",,"23","73","73",,,,,,
"935","1","2019-9-1",,"5","73","73",,,,,,
"931","1","2019-8-2",,"31","73","73",,,,,,
"930","3","2019-8-2",,"1","73","73",,,,,,
"941","1","2019-8-2",,"24","73","73",,,,,,
"937","1","2019-8-2",,"20","73","73",,,,,,
"934","1","2019-8-2",,"70","73","73",,,,,,
"942","1","2019-8-3",,"16","73","73",,,,,,
"944","1","2019-8-3",,"32","73","73",,,,,,
"943","1","2019-8-3",,"0","73","73",,,,,,
"946","1","2019-8-4",,"21","73","73",,,,,,
"945","1","2019-8-4",,"10","73","73",,,,,,
"945","1","2019-8-4",,"10","73","73",,,,,,
"938","1","2019-8-2",,"16","73","73",,,,,,
"939","2","2019-8-5",,"0","73","73",,,,,,
"947","1","2019-8-5",,"18","73","73",,,,,,
"952","1","2019-8-5",,"37","73","73",,,,,,
"953","1","2019-8-6",,"16","73","73",,,,,,
"957","2","2019-8-6",,"0","73","73","1",,,,,
"955","1","2019-8-6",,"6","73","73",,,,,,
"949","1","2019-8-6",,"16","73","73",,,,,,
"959","1","2019-8-6",,"27","73","73",,,,,,
"954","1","2019-8-6",,"22","73","73",,,,,,
"956","1","2019-8-6",,"19","73","73",,,,,,
"965","1","2019-8-6",,"24","73","73",,,,,,
"960","1","2019-8-6",,"20","73","73",,,,,,
"963","1","2019-7-31",,"19","73","73",,,,,,
"958","1","2019-8-7",,"39","73","73",,,,,,
"970","1","2019-8-7",,"10","73","73",,,,,,
"970","1","2019-8-7",,"10","73","73",,,,,,
"975","2","2019-8-7",,"0","73","73","1",,,,,
"976","1","2019-8-7",,"20","73","73",,,,,,
"967","1","2019-8-7",,"20","73","73",,,,,,
"962","2","2019-8-8",,"0","73","73",,,,,,
