"id","billed_info"
"1449","11/06 - revised bill per Nexxus request.   Need to change measurements."
"1461","11/05 had to remove service call from invoice.  UPC does not allow service call during the day."
"1499","per michelle-bill reduced - svc call fee changed to $75.00"
"1508","per michelle..bill reduced  no alterations/anchoring on 2nd job"
"1510","Sedgwick fee $34.13"
"1522","ok to reduce to  invoice"
"1575","billed via symbility"
"1592","reduced 1/17/2020"
"1597","Invoice 3039 - 2469.59
Tree removal - 879.59"
"1601","Invoice 3037 is 1781.49.
invoice 3035 is 1135.25"
"1609","REVISED TO $2K PER GUS"
"1621","revised to $2000.00  billed incorrectly as we charged for 3 tarps..on 2 were installed .."
"1629","invoice is combined with 1st tarp..this portion is only $600.00"
"1652","claimed denied...negotiated w/insured..revised to $1740 for this invoice + $600.00 for tarp inspection..=$2340"
"1670","WAS 1436.24 NEGOTIATED DOWN FOR IMMEDIATE PAYMENT FROM CARRIER"
"1695","REVISED TO INSURANCE BILLING PRICES-XACTIMATE"
"1742","1/28-revised invoice amount per chris"
"1792","Nexxus invoice 288939 - 02/29 $30.18"
"1807","Tower Hill denied the claim, therefore, we had to adjust our invoice. 03/2"
"1844","new price list established per chris 99¢ sq ft/7.50 sb/anch alt height reg price"
"1846","Nexxus invoice 289079 -02/29 - 89.85"
"1856","per request from sedgwick had to separate both invoices..."
"1858","send $150 to Servpro of Pompano"
"1861","Nexxus invoice 290418 -02-29 - 107.99"
"1983","04/16 - at the request from Jack with Sedgwick...revise install with replace. placed revised amount in revised box and date and it removed it and defaulted to the date of 11 something"
"1993","DENIED CLAIM...REVISED TO $1500 PER TH"
"2016","per adjuster..add $175 mobilization fee
SEDGWICK INV #BI-70994 FEE: $70.80"
"2034","SEDGWICK INV#BI-76883  FEE:$264.81"
"2045","revised initial invoice per sedgwick.   changed ACT to + and removed labor minimums.
SEDGWICK INV#BI-72041  FEE: $70.30"
"2080","Original invoice amount 2037.00 - claim denied.  Tower Hill to pay 1500.  Revised invoice on 05/18"
"2085","REVISED AS DENIED CLAIM..
revised again as alacrity is paying an additional $953.40 to this claim"
"2109","agreed to reduce to $1900 as claim was denied..paying tarp/inspection w/one check.."
"2159","SEDWICK IN #BI-75360  FEE: $69.24"
"2160","SEDGWICK INV #BI-75431  FEE: $97.72"
"2162","Preferred/Maison fee $228.72"
"2173","Nexxus billing us 79.01"
"2185","ok to reduce for final payment"
"2191","issued credit for roof tile repair in the amount of $1275.00...insured will submit payment for the remaining balance of $2285.80--emailed insured/adjuster revised invoice etc.."
"2196","SEDGWICK INV #BI-76284  FEE $472.43"
"2198","PER NOTES IN ALACNET..NEVER SENT TO KRUGER THOUGH..CLAIM DENIED..$1500.00 ACCEPTABLE/PAID"
"2212","SEDGWICK INV #BI-75796  FEE: $25.00

RECD APPROVAL TO VOID...AS WE WERE JUST ADVSD BY OLLY RYMER HRYMER@ASICORP.ORG VIA XACT TO CONTACT INSURED FOR PYMNT BELOW DEDUCTIBLE...
REVISED AS WE JUST RECEIVED A CHECK FROM ASI #1779094"
"2217","SEDGWICK INV #BI-75930  FEE: $101.84"
"2235","DENIED AGREED TO FLAT $1500.00"
"2236","CLAIM DENIED REDUCED TO $1500.00"
"2241","SEDGWICK INV #BI-76641  FEE: $291.60"
"2251","Invoice of $3021.60 - Settlement with lawyer of $2800.00"
"2292","dcmg fee $121.11"
"2309","SEDGWICK INV #BI-76659  FEE: $74.80"
"2311","CREDIT PER GUS OF $150.00--THEY USED THE CREDIT ON 6/11 ACH"
"2318","ok to reduced for full payment.."
"2383","ok to reduce to $1500 as previously quoted for db pricing.."
"2456",""
"2472","ok to be reduced..."
"2476","7/17 - RECD SEDGWICK FEE: $151.28"
"2488","7/17 RECD SEDGWICK  INV: FEE $69.23"
"2499","baxter refuses to pay this invoice..recd o.k. from Michelle to process NTO..sending to the insured and ALL of Baxter Restorations offices in Fla (3)
recd approval to close out invoice as bad debt..."
"2523","7/17 RECD SEDGWICK INV FEE: $89.76"
"2543","REVISED"
"2547","7/17 RECD SEDGWICK INV:  FEE $37.16"
"2556","WAS $822.00 BUT RECD CK FOR $855.00"
"2594","recd approval from michelle to void out.."
"2608","07/01 - original invoice 5239.64
advsd by xact/nexxus over tarp price to high..settled at $2k"
"2610","7/17 RECD SEDGWICK INV: FEE $209.28"
"2655","DENIED AGREED TO PARTILA"
"2666","19.95"
"2695","CLAIM DENIED REDUCED TO $1500.00  NOT ADVSD BY ALACRITY..PAYMENT IS LESS FEE"
"2707","7/17 RECD SEDGWICK INV: FEE $345.50"
"2726","ALACRITY FEE $ 92.66
per request from examiner..revised to steep instead of height accomodations.."
"2738","Fees 16.83"
"2742","revised...only $500 allowed for debris"
"2745","7/17 RECD SEDGWICK INV: FEE $173.90"
"2747","revised invoice TARPS"
"2749","claim denied per paul curtright..reduced invoice as requested.."
"2787","7/17 RECD SEDGWICK INV:  FEE: $118.34"
"2808","7/17 RECD SEDGWICK INV:  FEE: $25.29"
"2831","08/06 - Elaine discussed invoice with me.  I explained to her that we give her our price to her and what she wants to charge the insurance company is on her.   She understands and will explain to her team.   Thanks us very much.  Send revised invoice to Elaine for $500 cc Cynthia."
"2845","RECD OK PER MICHELLE TO VOID INVOICE IF THEY PAY THE OUTSTANDING INVOICES SAME DAY.."
"2852","adjuster Ryan approved extra charge for labor hours/tying sandbags for 1  hour...svc charge only $175.00 no after hours."
"2858","7/17 RECD SEDGWICK INV:  FEE: $219.69"
"2862","per gus"
"2864","REVISED USING TARPS+"
"2867","dcmg fee 79.87 10/21"
"2873","dcmg 9.63"
"2927","no charge tarp shifted per gus"
"2939","Fees - 130.02"
"2961","dcmg fee 71.55"
"2962","recd per michelle..
09/23 - check 6322 for wrong amount. Elaine asked me to ripped up. She will reissue today."
"3004","Preferred fee $90.00"
"3013","Sedgwick fee 58.97"
"3014","sedgwick fee 10.00"
"3016","Sedgewick fee $123.74"
"3019","SEDGWICK FEE: $10.00 REFERENCED ON JOB #3291 IN ERROR...FEE BELONGS TO THIS JOB AS IT'S ONLY $125.00"
"3022","sedgwick fees 309.56"
"3024","SEDGWICK FEE $92.98"
"3025","sedgwick 62.90"
"3026","sedgwick fee 140.58"
"3028","sedgwick fees 48.24"
"3032","sedgwick fee 45.32"
"3033","Sedgewick fee $72.36"
"3034","sedgwick fee 52.24"
"3036","Sedgewick CREDMEM $10.00"
"3041","sedgwick fee 62.24
COMBINED INVOICES 4182 & 4183"
"3042","sedgwick fee 10.00"
"3045","Preferred fee $101.25"
"3050","sedgwick fee 72.24"
"3058","sedgwick fee 162.25"
"3063","sedgwick fee 10.00"
"3066","Sedgwick fee 183.20"
"3068","sedgwick fees 12.24"
"3071","sedgwick 72.36"
"3072","sedgwick fees 190.63"
"3074","sedgwick 42.24"
"3075","sedgwick fee 10.00"
"3088","ok to void nothing in alacrity"
"3089","sedgwick fee 10.00"
"3092","sedgwick fee 10.00"
"3097","Revised at the direction of Alacrity./"
"3099","sedgwick fee 269.28"
"3106","Alacrity fee $108.95"
"3108","08/06 at the request of April with Allstate, we needed to adjust the invoice to remove height and add labor hours.  Revised and added labor.  Submitted invoice in XA.  Need to adjuster invoice amount in Alanet, ,waiting for capability to do so.
Alacrity fee $41.28"
"3109","alacnet fee 22.88"
"3120","sedgwick fees 12.36"
"3121","sedgwick 111.52"
"3124","sedgwick fee 309.85"
"3135","sedgwick fees 132.36"
"3136","sedgwick fees 10.00"
"3140","Sedgewick fee $135.47"
"3142","sedgwick fee 72.36"
"3145","sedgwick fee 145.18"
"3149","sedgwick fee 72.44 paid"
"3153","Sedgewick fee $15.31"
"3160","Alacnet net fee 73.64"
"3163","Sedgewick fee $161.11
Sedgewick CREDMEM $161.11"
"3165","sedgwick fees 153.67"
"3167","Alacrity fee $173.23"
"3174","Sedgewick fee $162.45"
"3178","sedgwick fee 161.06"
"3179","sedgwick fee 198.29"
"3196","APPROVED TO REDUCE TO $1500.00"
"3199","SEDGWICK FEES 72.36"
"3200","sedgwick fee 86.73"
"3207","Sedgewick fee $132.36"
"3210","neg w/supervisor for payment..reduced to $125.00
recd another payment from universal for add'l sandbags $125.00"
"3213","Sedgewick fee $67.16"
"3217","Sedgwick fee $68.77"
"3218","Alacnet fee 153.25"
"3220","Sedgwick fee $138.36"
"3222","Sedgewick fee $86.73"
"3230","Sedgwick fee $72.36"
"3231","alacrity fee 180.97"
"3235","Sedgewick fee $135.47"
"3242","Sedgewick fee $72.13"
"3247","Sedgwick Fee $35.49"
"3250","Sedgwick Fee $81.44"
"3251","SEDGWICK FEE 162.82"
"3261","SEDGWICK FEES 70.11"
"3264","08/05 - Sent the customer invoice viaQuickbooks."
"3269","Sedgwick Fee $70.00"
"3276","Sedgewick fee $26.29"
"3294","SEDGWICK FEE $ 43.69"
"3296","Sedgewick fee $128.58"
"3300","Sedgewick fee $217.34"
"3301","Sedgewick fee $86.73"
"3303","Alacnet fees 31.69"
"3305","Sedgewick fee $170.56"
"3310","SEDGWICK FEES 75.46"
"3316","Sedgewick fee $495.81"
"3323","Sedgewick fee $223.34"
"3328","Sedgewick fee $407.74"
"3332","Sedgewick fee $15.00"
"3334","$188.72"
"3336","Sedgewick fee $129.54"
"3337","Sedgewick fee $191.47"
"3339","Sedgewick fee $15.00"
"3340","Sedgewick fee $469.13"
"3342","Sedgewick fee $15.00"
"3344","Sedgewick fee $1,160.61"
"3345","Sedgewick fee $17.50"
"3347","Sedgewick fee $337.62"
"3348","Sedgwick fee $274.76"
"3350","Sedgewick fee $319.24"
"3351","Sedgewick fee $218.35"
"3354","Sedgewick fee $386.49"
"3356","Sedgewick fee $15.00"
"3358","Sedgewick fee $231.47"
"3363","Sedgewick fee $225.29"
"3367","sedgwick fees 162.36"
"3368","sedgwick fee 97.84"
"3370","Sedgewick fee $42.77"
"3373","Sedgewick fee $90.73"
"3377","Sedgewick fee $10.00"
"3380","Sedgewick fee $94.50"
"3381","Sedgewick fee $150.11"
"3383","Sedgewick CREDMEM $12.50"
"3384","Sedgewick fee $371.48"
"3385","Sedgewick fee $175.55

RECD PYMNT FOR ORIGINAL INVOICED AMOUNT OF $2765.86"
"3386","Sedgwick fee on statement 09/14 - 187.20"
"3387","Sedgewick fee $261.75"
"3388","Sedgewick fee $255.86"
"3404","Sedgewick fee $165.56"
"3406","Sedgewick fee $93.60"
"3407","sedgwick fee 50.05 pd"
"3411","Sedgewick fee $12.50"
"3412","alacrity fee 365.66"
"3415","Sedgewick fee $136.18"
"3417","Sedgewick fee $268.31"
"3432","AGREED AS LESS DEDUCTIBLE.. Alacnet fees 37.21"
"3436","Sedgewick fee $454.92"
"3437","Sedgewick fee $85.84"
"3442","Sedgewick fee $104.22"
"3445","Sedgewick fee $37.58"
"3449","Sedgewick fee $247.92"
"3450","alacrity fees 244.82"
"3458","Sedgewick fee $151.38"
"3473","Sedgewick fee $157.61"
"3486","Sedgewick fee $126.21"
"3490","Alacnet fee 493.74"
"3501","ALACRITY FEE 110.13 + 9.95"
"3502","Alacrity fee 120.08"
"3508","Sedgewick fee $617.29"
"3513","Alacrity fee $42.95 - ck 802496"
"3519","alacrity fee 81.56"
"3521","alacrity fee 53.95"
"3543","alacrity fee 66.31"
"3549","Sedgewick fee $12.00"
"3550","nexxus fee 32.14"
"3551","ALACRITY FEE 42.95"
"3561","Alacrity fee $33.00"
"3572","dcmg fee $358.24"
"3586","Sedgwick fee $473.52"
"3589","Sedgwick Fee $481.88"
"3595","Sedgwick fee $10.00"
"3611","Alacrity fee $9.95 and $188.16"
"3618","Alacrity fee $9.95 and $217.72"
"3635","Sedgwick Fee $304.31"
"3641","Vendor fee 132.11"
"3643","vendor fees 221.57"
"3644","Sedgwick Fee $17.50"
"3646","Sedgwick Fee $134.74"
"3650","Alacrity fee $9.95 and $173.64"
"3651","Sedgwick Fee $600.00"
"3652","Sedgwick Fee $668.72"
"3654","Sedgwick fee $162.06"
"3675","Sedgwick fee $118.70"
"3676","Sedgwick Fee $134.29"
"3678","Sedgwick Fee $295.38"
"3684","Preferred fee $68.16"
"3704","316.23 DCMG Fees"
"3706","sedgwick fee 290.42 pd"
"3721","Sedgwick Fee $72.30"
"3722","Sedgwick Fee $313.12"
"3729","Sedgwick Fee $268.80"
"3730","Sedgwick Fee $230.90"
"3744","Preferred fee $6.25"
"3755","Preferred fee $214.27"
"3955","Sedgwick Fee $313.12"
"4094","Per Gus agreement w/Matt w/Rescue 911 as no charge for this"
"4097","duplicate to 3861  pif"
"4171","Preferred fee $60.00"
"4177","Alacrity fee $9.95 and $33.00"
"4196","Alacrity fee $9.95 and $106.30"
"4202","AGREED TO REVISED TO 1500.00 CLAIM DENIED.."
"4225","Alacrity fee $9.95 and $70.02"
"4232","PER PAS SHOULD BE RECEIVING PAYMENT OF $5335.21 LESS ALACRITY FEE OF $321.04  BY 10/21"
"4242","Alacrity fee $9.95 and $159.23"
"4244","Alacrity fee $9.95 and $62.48"
"4249","Preferred fee $112.50"
"4290","Alacrity fee $9.95 and $101.64"
"4291","Alacrity fee $9.95 and $80.91"
"4292","Alacrity fee $9.95 and $194.29"
"4317","Alacrity fee $9.95 and $27.45"
"4319","Sedgwick fee $80.10"
"4321","Sedgwick Fee $71.22"
"4326","Sedgwick Fee $85.95"
"4329","Sedgwick Fee $303.42"
"4332","Sedgwick fee $96.29"
"4334","Sedgwick fee $38.17"
"4339","Preferred fee $394.16"
"4342","Sedgwick Fee $402.80"
"4343","Sedgwick Fee $171.67"
"4352","Alacrity fee $9.95 and $165.55"
"4372","REVISED DENIED CLAIM.."
"4378","Alacrity fee $9.95 and $170.01."
"4398","Sedgwick Fee $180.47"
"4401","Alacrity fee $9.95 and $141.78"
"4406","Alacrity fee $9.95 and $54.18"
"4408","Alacrity fee and $9.95 and $98.73"
"4413","Alacrity fee $9.95 and $121.00"
"4414","Alacrity fee $9.95 and $154.41"
"4415","Alacrity fee $9.95 and $121.00"
"4416","Alacrity fee $9.95 and $59.09"
"4435","Alacrity fee $9.95 and $366.03"
"4475","Sedgwick fee $162.47"
"4479","Sedgwick fee $95.78"
"4485","239.50"
"4493","nexxus fee  125.57
does not included network referreal fee."
"4512","Alacrity fee $9.95 and $243.51"
"4517","Sedgwick Fee $274.28"
"4520","Alacrity fee $9.95 and $254.65"
"4547","Sedgwick Fee $217.02"
"4606","Sedgwick Fee $39.38"
"4612","no sandbags were used..  
Sedgwick Fee $41.34"
"4620","Alacrity fee $9.95 and $121.00"
"4627","Sedgwick fee $79.89"
"4637","Sedgwick Fee $159.80"
"4638","Alacrity fee $9.95 and $126.93"
"4639","Sedgwick Fee $21.56"
"4643","Sedgwick fee $187.88"
"4648","Alacrity fee $9.95 and $47.30"
"4653","Sedgwick fee $176.00"
"4658","Alacrity fee $9.95 and $46.75
recd approval to reduce to $700.00"
"4660","Alac Vendor Fee 9.95 and 155.82"
"4670","steep charge removed per gus
Alacrity fee $9.95 and $190.47"
"4675","Sedgwick fee $158.98"
"4712","Sedgwick fee $60.45"
"4724","Sedgwick fee $365.43"
"4725","Alacrity fee $9.95 and $268.02"
"4728","Sedgwick fee $174.06"
"4776","DENIED CLAIM..AGREED TO FLAT FEE $1500"
"4777","DENIED REVISED TO $1500.00"
"4788","Alacrity fee $9.95 and $221.24"
"4789","Alacrity fee $9.95 and $54.92"
"4790","Alacrity fee $9.95 and 161.03"
"4793","Sedgwick fee $274.28"
"4806","Sedgwick fee $327.20"
"4813","Sedgwick fee $37.37"
"4842","Alac Vendor Fee 9.95 and 125.57"
"4914","Sedgwick Fee $196.52"
"4926","Sedgwick fee $274.28"
"4927","Sedgwick fee $62.60"
"4941","Alacrity fee $9.95 and $47.49"
"4984","Alacrity fee $9.95 and $233.12"
"5002","Sedgwick fee $78.80"
"5006","ok to reduce"
"5055","Alacrity fee $9.95 and $158.87"
"5058","Alacrity fee $9.95 and $35.87"
"5070","Alacrity fee $9.95 and $98.73"
"5073","Alacrity fee $9.95 and $84.62"
"5079","Alacrity fee $9.95 and $149.36"
"5083","Alacrity fee $9.95 and $40.81"
"5103","Alacrity fee $9.95 and $96.87"
"5104","Sedgwick fee $248.36"
"5131","Alacrity fee $9.95 and $54.18"
"5137","Alacrity fee $9.95 and $179.66"
"5146","Alacrity fee $9.95 and $19.30"
"5150","Sedgwick fee $97.20"
"5154","iON invoice we discounted $972.00
Alacrity fee $9.95 and $224.21"
"5158","Alacrity fee $9.95 and $121.00"
"5181","Alacrity fee $9.95 and $144.02"
"5188","Alacrity fee $9.95 and $99.47"
"5195","Alacrity fee $9.95 and $201.19"
"5210","Alacrity fee $49.50"
"5213","Alacrity fee $9.95 and $182.41"
"5215","Alacrity fee $9.95 and $64.73 and $6.88"
"5225","Alacrity fees $9.95 and $248.99"
"5237","Alacrity fee $9.95 and $165.21"
"5240","Alacrity fee $9.95 and $53.75"
"5256","Alacrity fee $9.95 and $59.73"
"5269","Alacrity fee $9.95 and $41.04"
"5275","Alacrity fee $9.95 and 234.44"
"5285","Alacrity fee $9.95 and 121.83"
"5287","Alacrity fee $9.95 and $189.89"
"5289","Alacrity fee $9.95 and $144.27"
"5291","Alacrity fee $9.95 and $138.85"
"5292","Alacrity fee $9.95 and $48.52"
"5294","Alacrity fee $9.95 and $104.89"
"5306","Alacrity fee $9.95 and $99.39"
"5311","Alacrity fee $9.95 and $55.25"
"5319","Alacrity fee $9.95 and $234.03"
"5325","Preferred fee $207.15"
"5326","Alacrity fee $9.95 and $97.14"
"5334","Alacrity fee $9.95 and $55.25"
"5342","Alacrity fee $9.95 and $100.13"
"5346","DENIED CLAIM"
"5352","DCMG fee $6.87"
"5360","per gus o.k to give Olympus 10% discount..."
"5361","Alacrity fee $9.95 and $39.55"
"5366","Alacrity fee $9.95 and $212.33"
"5368","Alacrity Fee $9.95 and $50.02 and 112.2"
"5373","Alacrity fee $9.95 and $33.56"
"5380","Alacrity fee $9.95 and $189.89"
"5384","Preferred fee $100.59"
"5389","Alacrity fees $9.95 and $167.48"
"5398","Alacrity fees $9.95 and $288.48"
"5461","Sedgwick Fee $202.72"
"5464","Sedgwick Fee $166.72"
"5465","Sedgwick Fee $559.36"
"5468","Sedgwick fee $633.23"
"5471","sedgwick 260.80 pd"
"5472","sedgwick fee 129.04 - pd"
"5474","sedgwick fee 68.11 - pd"
"5476","Preferred fee $53.46"
"5477","Preferred fee $61.20"
"5486","sedgwick fee pd 87.15"
"5489","Sedgwick Fee $274.72"
"5490","Alac Vendor Fee 9.95 and 46.60"
"5492","Sedgwick fee $303.15"
"5497","Sedgwick Fee $366.44"
"5508","sedgwick 279.15 - pd"
"5509","Sedgwick fee $207.15"
"5511","Sedgwick fee $ 15.00"
"5513","Sedgwick Fee $202.72"
"5525","sedgwick 163.02 pd"
"5527","sedgwick fee 257.97 - pd"
"5531","sedgwick fee 303.15 - pd"
"5532","Sedgwick fee $186.90"
"5533","sedgwick fee 195.15 - paid"
"5534","sedgwick 267.15"
"5538","sedgwick fee 383.20"
"5540","154.35 - sedgwick fee paid."
"5541","Sedgwick fee $273.20"
"5559","Alacrity fee $79.61"
"5560","Preferred fee $70.13"
"5562","Preferred fee $139.32"
"5565","sedgwick 501.15 pd"
"5568","Sedgwick fee $169.69"
"5572","sedgwick fee pd 372.07"
"5573","sedgwick fee 303.15 pd"
"5574","sedgwick fee 561.15 pd"
"5582","Alacrity fees $9.95 and $111.66"
"5587","sedgwick fee 154.35 pd"
"5590","Sedgwick fee $290.87"
"5594","sedgwick fee 447.15"
"5600","sedgwick fee 121.02"
"5604","sedgwick fee 51.15"
"5627","reduce 400 sq ft per gus to get approval from zeeka
AlacNet fee $416.85"
"5632","sedgwick pymt 87.15 pd"
"5642","Sedgwick fee $259.95"
"5650","sedgwick fee 749.23 pd"
"5675","ALACRITY NEXXUS FEE: $263.75"
"5740","AlacNet fee $122.30"
"5831","ALACRITY FEE: 35.75"
"5862","Alac Vendor Fee 148.89"
"5879","AlacNet fee $16.83"
"5885","DCMG fee $167.17"
"5886","AlacNet fee $31.95"
"5900","AlacNet fee $67.84"
"5902","AlacNet fee $94.38"
"5909","AlacNet fee $217.58"
"5910","AlacNet fee $115.91"
"5921","Alac Vendor Fee 9.95 and 18.56"
"5924","revised for regina with Velocity. 11/18
Sedgwick fee $68.76"
"5926","Sedgwick fee $231.15"
"5930","AlacNet fee $153.58"
"5949","AlacNet fee $96.05"
"5951","AlacNet fee $187.88"
"5962","Sedgwick fee $158.77"
"5965","Sedgwick fee $67.67"
"5970","AlacNet fee $46.80"
"5973","Sedgwick fee $33.27"
"5976","Sedgwick fee $141.51"
"5980","AlacNet fee $53.36"
"5985","Sedgwick fee $237.60"
"5986","Sedgwick fee $87.15"
"5991","AlacNet fee $107.67"
"5996","Sedgwick fee $18.94"
"5998","DCMG fee $39.60"
"6003","Sedgwick fee $74.15"
"6005","Sedgwick fee $159.46"
"6021","Customer wanted to pay by CC card added 26.88 to invoice - CC processing fee and resubmitted."
"6022","Sedgwick fee $75.15"
"6023","Sedgwick fee $280.91"
"6025","Sedgwick fee $257.82"
"6026","Sedgwick fee $148.03"
"6033","AlacNet fee $82.06"
"6041","Nexxus fee 59.45"
"6042","Sedgwick fee $184.27"
"6043","Sedgwick fee $246.17"
"6046","Sedgwick fee $17.80"
"6047","Nexxus fee 109.61"
"6051","Nexxus fee 20.35 paid 03/23/21"
"6052","Sedgwick fee $99.00"
"6053","Sedgwick fee $374.45"
"6054","Sedgwick fee $68.00"
"6064","apprvd to void 125"
"6065","Sedgwick fee $227.23"
"6066","Sedgwick fee $232.25"
"6070","Sedgwick fee $135.15"
"6079","DCMG fee $216.18"
"6080","AlacNet fee $158.60"
"6081","DCMG fee $201.03"
"6083","Nexxus fee 144.96 paid 3/23/21"
"6091","AlacNet fee $69.41"
"6098","AlacNet fee $86.90"
"6099","AlacNet fee $186.21"
"6100","DCMG fee $76.07"
"6102","AlacNet fee $49.61"
"6109","Sedgwick fee $86.96

recd call from adjsuter advising there was no direction of pay and this was below deducted..i quickly pointed out to her that she approved the direction to pay in xactanalysis etc and there are no notes  advising of the payment etc..she apologized for that.."
"6114","Sedgwick fee $158.40"
"6117","DCMG fee $45.05"
"6122","BILLED IN ERROR..EVERYTHING WAS PAID IN FULL ON 6886 & 5536"
"6132","Sedgwick fee $289.56"
"6141","Sedgwick fee $186.03"
"6146","Nexxus fee 217.58 paid 3/23/21"
"6151","Sedgwick fee $106.96"
"6153","Nexxus fee 139.51 paid 3/23/21"
"6154","Sedgwick fee $237.60"
"6155","HAD TO REMOVE THE STEEP CHARGE.."
"6159","Sedgwick fee $160.11"
"6162","Alac Vendor Fee 37.95
Plus 9.95"
"6163","Nexxus fee 65.61 paid 3/23/21"
"6176","Sedgwick fee $94.35"
"6189","Sedgwick fee $156.71"
"6192","Sedgwick fee $39..86"
"6199","DCMG fee $81.10"
"6200","DCMG fee $190.69"
"6208","DCMG fee $52.58"
"6215","DCMG fee $72.38"
"6216","Sedgwick fee $255.80"
"6223","Received approval to void invoice
Invoice 6161 previously voided - received PRN payment"
"6226","Sedgwick fee $308.72"
"6234","Sedgwick fee $75.55"
"6250","DCMG fee $188.49"
"6263","AlacNet fee $33.33"
"6273","per gus this should not be charged..our error.."
"6280","Alac Vendor Fee 9.95 and 39.45"
"6285","Sedgwick fee $317.15"
"6292","AlacNet fee $70.39"
"6314","SECC only paid original amount not revised. Discounted to be able to reconciled - approved by Michelle."
"6318","AlacNet $137.55"
"6321","ALACRITY/NEXXUS FEE: $139.12"
"6410","Alac Vendor Fee 9.95 and 233.68"
"6421","ok to reduce"
"6424","Security First fee $347.81"
"6435","Alac Vendor Fee 9.95 and 112.02"
"6436","Alac Vendor Fee 9.95 and 100.15"
"6462","Nexxus fee 94.03 paid 9.95 3/23"
"6469","Alac Vendor Fee 9.95 and 286.03"
"6589","Alac Vendor Fee 9.95 and 10.37"
"6599","Alac Vendor Fee 9.95 and 195.24"
"6600","Alac Vendor Fee 9.95 and 113.79"
"6611","Alac Vendor Fee 9.95 and  6.88"
"6624","Alac Vendor Fee 9.95 and 206.86"
"6629","denied negot to reg pricing approved by m"
"6732","Alac Vendor Fee 49.50"
"6776","Alac Vendor Fee 9.95 and 52.9"
"6827","9.95 Assignment fee
84.08 Network fee
03/08/21"
"6864","3/16 paid 48.29"
"6943","Sedgwick fee $92.16"
"6948","$35.75 Network fee"
"6961","Assignment fee 9.95
Network fee 157.08"
"6963","Network fee $44"
"6975","claim was denied this was not approved through th/alacnet can't collect from insrued per th/alacnet..voided.."
"7001","Sedgwick fee $742.56"
"7013","changed estimate as we had to reduce the sq footage of the tarp after we reinspected."
"7023","Sedgwick fee $293.70"
"7032","Sedgwick fee $28.66"
"7053","Sedgwick fee $15.00"
"7056","$9.95  Assignment fee
158.95 Network Fee"
"7070","Alacrity fee 33.86 + 9.95"
"7120","03/16/21 Paid fees 178.07
INVOICE WAS REVISED ON 1/22/2021   Nexxus fee 178.07"
"7122","RECD CALL FROM BILL W/SEDGWICK ASI HAD TO REVISE TO $175.00 FOR SERVICE CALL...AND REVISE THE 2X4X8 TO ACTUAL AMOUNT OF BOARDS INSTEAD OF SQFT.."
"7159","sedgwick fee revised 186.24"
"7167","Nexxus $108.37 03/08 paid 3/16"
"7168","sedgwick fee updated 324.88"
"7175","per xactimate & xactanalysis amount billed for 30 x 50 $2070.84
3/16 Paid fee $49.17"
"7212","REVISED BILL/REDUCED SQFT OF 390"
"7216","03/08/2021 - 9.95 Assignment fee
12.00 Network fee (by Rachel)"
