"id","referral_type_id","company_entity","company_fictitions","street","city","state","zipcode","main_contact","email","created_at","updated_at"
"33","2","Chubb","Chubb",,,,,,"ecsc.property.claims@chubb.com","2018-12-18 10:16:46","2021-8-11 15:17:56"
"34","2","Citizens","Citizens",,,,,,"claimscommunications@citizensfla.com","2018-12-18 10:22:21","2020-12-4 10:41:23"
"35","2","Crawford and Company","Crawford","2301 Lucien Way, Suite 185","Maitland","FL","32751","Tom Rycroft","southflorida@us.crawco.com","2018-12-18 10:33:34","2020-12-4 10:44:55"
"36","2","Cypress Property and Casualty","Cy. P&C",,,,,,"cypclaims@cpyressIG.com","2018-12-18 10:34:53","2020-12-4 10:45:18"
"37","2","Fidelity","Fidelity",,,,,"(800) 220-1351","fnic-claims@pandcins.com","2018-12-18 10:40:26","2020-12-4 10:51:07"
"38","2","Florida Family","FL Fam",,,,,,"claimsdepartment@flfamily.com","2018-12-18 10:59:12","2020-12-4 10:53:03"
"41","2","Heritage","Heritage",,,,,"test","claims@heritagepci.com","2018-12-18 11:03:11","2021-8-5 15:24:05"
"42","2","Homeowner's Choice","H/O Choice",,,,,,"claims@hcpci.com","2018-12-18 11:03:55","2020-12-4 10:56:37"
"43","2","Horace Mann","Horace",,,,,,,"2018-12-18 11:04:17","2020-12-4 10:56:53"
"44","2","Ironshore","Iron",,,,,,"usclaims@ironshore.com","2018-12-18 11:04:40","2020-12-4 10:57:00"
"45","2","Liberty Mutual","Liberty",,,,,,"firstname.lastname@libertymutual.com","2018-12-18 11:05:08","2020-12-4 10:58:37"
"46","2","Lloyds of London","Lloyds",,,,,"(877) 275-9575","clmrpt@allrisks.com","2018-12-18 11:05:53","2020-12-4 11:00:02"
"47","2","London Underwriters","London U",,,,,,,"2018-12-18 11:07:41","2020-12-4 11:00:09"
"48","2","Nationwide","Nationwide",,,,,,,"2018-12-18 11:08:01","2022-4-18 14:52:04"
"51","2","Prepared Insurance","Prepared",,,,,,,"2018-12-18 11:09:57","2021-6-9 14:21:40"
"52","2","Cunningham Lindsey","Cunn. Lindsey",,,,,,,"2018-12-18 11:10:20","2020-12-4 10:45:09"
"53","2","PURE Insurance","PURE",,,,,,,"2018-12-18 11:10:40","2022-5-26 16:00:39"
"54","2","SafePoint","Safe Pt",,,,,"(855) 252-4615","claims@safepointins.com","2018-12-18 11:11:12","2020-12-4 11:17:58"
"55","2","Scottsdale","Scotts",,,,,,"clmsrpts@scottsdaleins.com","2018-12-18 11:11:42","2020-12-4 11:18:05"
"56","2","Seacoast  Brokers","Seacoast",,,,,,,"2018-12-18 11:12:04","2020-12-4 11:18:13"
"57","2","Southern Fidelity Insurance","Southern Fidelity",,,,,,"iareports@southernfidelityins.com","2018-12-18 11:13:24","2022-6-3 13:31:00"
"58","2","ERROR REFERRAL","ERROR REFERRAL",,,,,,,"2022-6-6 11:50:04","2022-6-6 11:50:07"
"59","6","Grindley Williams","Grindley","4175 South Pipkin Road, Suite 210","Lakeland","FL","33811","(863) 874-3471","ataylor@grindleywilliams.com","2018-12-18 11:22:32","2020-12-4 10:53:56"
"62","2","Tower Hill","Tower Hill",,,,,,"claims@thig.com","2018-12-18 16:29:39","2022-5-17 11:41:54"
"63","2","York Claims","York",,,,,,,"2018-12-18 16:30:18","2020-12-4 11:32:19"
"64","2","Travlers of Florida","Travlers",,,,,,,"2018-12-18 16:30:38","2020-12-4 11:29:15"
"65","2","The Hartford","Hartford",,,,,,,"2018-12-18 16:30:59","2020-12-4 11:28:17"
"66","6","Direct Bill","Direct Bill",,,,,,,"2018-12-18 21:33:10","2020-12-4 11:02:35"
"68","6","Nichols& Associates","Nichols","1229 Jenks Ave.","Panama City","FL","32401","(850) 819-1464","mike.nichols@bayinspc.com","2018-12-19 10:38:55","2020-12-4 11:01:17"
"69","1","Discreet Restoration","Discreet","10161 NW 53rd Street","Sunrise","FL","33351","Josh 954-629-8256","josh@discreetrestoration.com","2018-12-19 10:52:57","2020-12-4 10:46:18"
"70","1","Quick Dry","Quick","10100 W Sample Road, Suite 308","Coral Springs","FL","33065","Johnathan",,"2018-12-19 11:11:19","2020-12-4 11:12:55"
"71","1","Servpro of Fort Lauderdale South","Servpro of South Fort Lauderdale South","401 E Las Olas Blvd Ste 1400, Ft Lauderdale, FL 33301","Fort Laudardale","Fl","33301","(954) 776-2000","krobinson@servpro10282.com","2019-1-2 10:05:26","2020-12-14 12:59:39"
"72","9","Sedgwick","Sedgwick","3728 Philips Hwy. Suite 360","Jacksonville","FL","32207","(904) 654-2606","James.Ecarius@sedgwickrepair.com","2019-1-4 17:23:28","2021-5-11 13:37:29"
"73","6","Kubicki Draper Law Offices","Kubicki Draper Law Offices","25 West Flagler Street, Penthouse","Miami","FL","33130",,,"2019-1-7 10:48:06","2020-12-4 10:58:03"
"74","1","National Restoration Experts","National Restoration","1301 W Copans Road, Ste D-5","Pompano Beach","FL","33064","Greg - Estimator","greg@nr-experts.com","2019-1-22 13:54:14","2020-12-14 09:08:53"
"76","2","AIG","AIG","PO Box 26210","Shawnee Mission","KS","66225",,"pcg-claimsfnol@aig.com","2019-2-5 09:45:12","2020-12-4 10:32:39"
"77","2","Olympus","Olympus",,,,,"Beth Wieland","bwieland@oigfl.com","2019-2-7 12:13:57","2022-3-17 11:47:59"
"78","2","Florida Peninsula","FL Pen","903 NW 65th Street, Suite 200","Boca Raton","FL","33487","Todd Alderman","todd.alderman@floridapeninsula.com","2019-2-7 12:16:36","2022-5-26 15:55:58"
"79","1","Ross Brothers Contractors","Ross Brothers","1855 Griffin Road, Suite #A455","Dania Beach","FL","33004","(561) 562-4643","info@rossbrothers.com",,"2020-12-4 11:17:36"
"80","1","911 Restoration Inc.","911 Restoration Inc.","10730 NW 53rd Street","Sunrise","FL","33351","Valarie Preston Mercado","valarie@911restoration.com",,"2021-8-17 18:50:39"
"81","2","Tapco Insurance","Tapco",,,,,,"clims@gotapco.com","2019-2-18 16:18:22","2020-12-4 11:28:01"
"82","1","SERVPRO of South Palm Beach","SERVPRO of South Palm Beach","2880 NW 2nd Ave, Ste 3","Boca Raton","FL",,,,,"2020-12-4 11:22:56"
"83","1","Servpro of Pompano","Servpro of Pompano",,,,,,,"2019-3-15 10:38:16","2020-12-4 11:22:40"
"84","2","Homesite","Homesite",,,,,,,"2019-3-15 11:00:17","2020-12-4 10:56:45"
"85","2","Universal North America","Universal North America",,,,,,,"2019-3-15 11:06:07","2020-12-4 11:31:08"
"86","2","Lexington","Lexington",,,,,,,"2019-3-15 11:12:15","2020-12-4 10:58:29"
"88","2","Ameriprise","Ameriprise",,,,,,,"2019-3-15 11:22:36","2020-12-4 10:35:53"
"89","9","Nexxus Solutions Group","Nexxus",,,,,,,"2019-3-15 12:25:20","2021-4-9 10:41:18"
"91","2","American Family","American Family",,,,,,,"2019-3-15 12:39:01","2020-12-4 10:34:06"
"93","2","Encompass","Encompass",,,,,,,"2019-3-15 12:40:32","2020-12-4 10:50:20"
"95","2","Esurance","Esurance",,,,,,,"2019-3-15 12:40:58","2020-12-4 10:50:44"
"96","2","GuideOne","GuideOne",,,,,,,"2019-3-15 12:41:41","2020-12-4 10:54:04"
"97","2","Hanover","Hanover",,,,,,,"2019-3-15 12:42:23","2020-12-4 10:54:29"
"98","2","Hastings Mutual","Hastings Mutual",,,,,,,"2019-3-15 12:42:53","2020-12-4 10:54:37"
"99","2","MAPFRE","MAPFRE",,,,,,,"2019-3-15 12:43:21","2020-12-4 11:00:24"
"100","2","QBE","QBE",,,,,,,"2019-3-15 12:43:47","2020-12-4 11:12:21"
"101","2","Velocity","Velocity",,,,,,,"2019-3-15 12:44:40","2022-6-24 10:12:29"
"102","2","Weston","Weston",,,,,,,"2019-3-15 12:45:08","2020-12-4 11:32:10"
"103","2","AYG Global Claims","AYG Global Claims",,,,,,,"2019-3-15 12:46:17","2020-12-4 10:37:42"
"104","9","Contractor Connection","Contractor Connection",,,,,,,"2019-3-15 12:50:09","2021-4-8 12:31:10"
"105","1","Flash Restore","Flash",,,,,,,"2019-3-20 12:17:42","2020-12-4 10:51:42"
"106","1","Water Damage Express","Water Damage Express","3001 waterview circle","Palm Springs","FL","33461","Joel","terrazasconstruction@gmail.com",,"2020-12-4 11:32:01"
"108","6","Rimkus","Rimkus",,,,,,,"2019-3-22 12:15:38","2020-12-4 11:15:33"
"110","1","United Restoration","United Restoration",,,,,,,"2019-4-2 18:53:35","2020-12-4 11:30:54"
"112","1","URI - Unlimited Restoration","URI - Unlimited Restoration",,,,,,,"2019-4-2 18:55:57","2020-12-4 11:31:32"
"114","1","Damex","Damex",,,,,,,"2019-4-2 18:56:51","2020-12-4 10:45:27"
"115","1","Servpro of North FT. Laud","Servpro of North FT. Laud",,,,,,,"2019-4-2 18:57:24","2020-12-4 11:22:09"
"118","1","Servpro of Boynton/Lake Worth","Servpro of Boynton/Lake Worth","101 Commerce Rd","Boynton Beach","FL","33426","(561) 723-1277","Miles@servpro10207.com","2019-4-2 18:58:41","2020-12-4 11:19:26"
"119","1","ServXpress Restoration","ServXpress Restoration",,,,,,,"2019-4-2 18:58:57","2020-12-4 11:23:34"
"120","1","First Onsite f/k/a Super Restoration","First Onsite f/k/a Super Restoration",,,,,"Giovanni or Lenny.",,"2019-4-2 18:59:12","2022-6-1 10:39:20"
"122","1","Servpro Plantation","Servpro Plantation",,,,,,,"2019-4-2 18:59:40","2020-12-4 11:23:27"
"123","1","Trademark Restoration","Trademark Restoration","4403 SE 16th Place, Unit 2","Cape Coral","FL","33904","Gary Houston","gary@trademarkrestorationinc.com","2019-4-2 18:59:52","2020-12-4 11:28:43"
"124","1","PuroClean South Miami","PuroClean South Miami",,,,,,,"2019-4-3 15:01:18","2020-12-4 11:12:02"
"125","2","Geico Insurance","Geico Insurance",,,,,,,"2019-4-9 17:31:48","2020-12-4 10:53:32"
"126","1","Fireservice Disaster Kleenup - Fort Myers","Fireservice Disaster Kleenup","3120 WINKLER AVENUE EXT., SUITE 30","FORT MYERS","FL","33916","Dwayne Taylor and Chris Rroessner","crroessner@fireserviceusa.com; dtaylor@fireserviceusa.com",,"2021-3-29 13:27:57"
"127","1","Servpro of Pembroke Pines","Servpro P. Pines",,,,,,,,"2020-12-4 11:22:33"
"128","1","PuroClean of Coral Gables","PuroClean of Coral Gables","3402 Toledo Street","Coral Gables","FL","33134","Thomas Avila - President","tavila@puroclean.com",,"2020-12-4 11:05:43"
"129","1","Shamrock","Shamrock Restoration","25 N.E. 11th Way","Deerfield Beach","FL","33441","Sean Toffey",,,"2020-12-4 11:23:41"
"130","1","Riteway","Riteway","2144 Johnson Street","Hollywood","FL","33020","Gus","marilyn@ritwayfla.com","2019-5-11 16:18:13","2020-12-4 11:17:27"
"131","1","SERVPRO of Cutler Bay","SERVPRO of Cutler Bay","12441 SW 130th St","Miami","FL","33186","(305) 278-1470","miles@servpro10207.com",,"2020-12-4 11:19:49"
"132","1","PuroClean of Miramar","PuroClean of Miramar","6157 NW 167th Street Suite F-27","Miami Lakes","FL","33015","Diego Melians II – President","dmelians@puroclean.com",,"2020-12-4 11:06:01"
"133","1","PuroClean of Miramar","PuroClean of Miramar","6157 NW 167th Street Suite F-27","Miami Lakes","FL","33015","Diego Melians II – President","dmelians@puroclean.com",,"2020-12-4 11:11:35"
"134","2","Avatar Insurance Company","Avatar",,,,,,,"2019-5-21 20:09:08","2020-12-4 10:37:32"
"136","1","Rapid Response - Pompano Beach","Rapid Response - Pompano Beach","2250 N Andrews Ave. Ext","Pompano Beach","FL","33069",,"rrtaccountspayable@rrtfl.com","2019-6-7 13:59:14","2020-12-23 11:43:25"
"137","1","PuroClean of Longwood","PuroClean of Longwood","254 S. Ronald Reagan Blvd., #128","Longwood","FL","32750","Diego Barros - Owner","dbarros@puroclean.com",,"2020-12-4 11:05:53"
"138","1","Gulfstream Roofing, Inc.","Gulfstream Roofing, Inc.","140 NW 18th Ave","Delray Beach","FL",,,"gulfstreamrfg@bellsouth.net",,"2020-12-4 10:54:21"
"139","2","St. John's Insurance","St. John's","6675 Westwood Blvd., Suite 360","Orlando","FL","32821",,,,"2021-8-11 15:29:30"
"140","9","DCMG","DCMG","PO Box 1213","Brandon","FL","3509","(407) 890-526","james.lebrun@directclaimsmg.com","2019-7-8 14:10:26","2021-10-22 09:16:29"
"141","2","Peoples Trust Ins","Peoples Trust Ins","18 Peoples Trust Way","Deerfield Beach","FL","33441","Guilfoyle, Daniel","dan_guilfoyle@hotmail.com",,"2020-12-4 11:04:34"
"142","1","Elements Disaster Recovery","Elements Disaster Recovery","1540 Monument Road #5","Jacksonville","FL","32225","Shelby Roberts","Shelby@elementsdisasterrecovery.com",,"2020-12-4 10:48:10"
"144","2","Maison Ins","Maison Ins",,,,,,,"2019-7-15 09:17:10","2021-5-20 10:09:40"
"145","1","QFB Property Restoration","QFB Property Restoration","4500 36th Street","Orlando","FL","32811","Carlos Catalani","Carlos@qfbuilders.com",,"2021-3-26 15:52:31"
"146","1","Recromax","Recromax","105 Commerce Street, Suite 125","Lake Mary","FL","32746","Molnar, Rob","rmolnar@recromax.com",,"2021-6-15 15:05:10"
"147","1","ServiceMaster Remediation - Pompano Beach","ServiceMaster Remediation - Pompano Beach","933 NW 31st Ave","Pompano Beach","FL","33069","David Evanosky,CGC,CIE,CMRS","dave@servicemaster247.com",,"2022-6-4 08:59:10"
"148","1","PuroClean of Sunrise","PuroClean of Sunrise","10171 NW 53rd Street","Sunrise","FL","33351","John Ortega – Director of Operations/Managing Partner - Samantha Jimenez - Office Manager","johnortega@puroclean.com ; s.jimenez@puroclean.com",,"2020-12-4 11:11:52"
"149","1","DKI Bay Area","DKI Bay Area","390 Scarlet Blvd","Oldsmar","FL","34677","(813) 416-8785","pharter@bayareadki.com",,"2020-12-4 10:46:28"
"150","1","Servpro of Apopka/Wekiva & West Orange","Servpro of Apopka/Wekiva & West Orange","PO Box 607005","Orlando","FL","32860","Steve Williams","swilliams@servprowestorange.com",,"2020-12-4 11:19:10"
"153","1","Hilex Construction","Hilex Construction","2967 N Powerline Road","Pompano Beach","FL","33069","Alex Garcia / Cory Brehm / Crystal Ippolito","AlexG@hilexco.com / Coryb@hilexco.com / crystali@hilexco.com",,"2020-12-4 10:56:20"
"154","1","United Water Restoration","United Water Restoration","2967 N. powerline Rd","Pompano Beach","FL","33069","David J. Kays - Operations Director","davidk@unitedwaterrestoration.com",,"2020-12-4 11:31:01"
"155","1","PuroClean of Aventura","PuroClean of Aventura","1950 NE 149th Street","North Miami","FL","33181","Ricardo Herdan – Managing Director","rherdan@puroclean.com",,"2020-12-4 11:05:34"
"156","1","PuraTech Restoration","PuraTech Restoration","2300 Glades Rd. Suite 202E","Boca Raton","FL","33431","Kelly Ward - Business Development","kelly@puratechrestoration.com",,"2020-12-4 11:05:17"
"157","1","Jarvis Property Restoration","Jarvis Property Restoration","9055 Americana Rd Ste 26","Vero Beach","FL","32966","Johns, Matthew","mjohns@jarvisconstruction.com",,"2020-12-4 10:57:21"
"158","1","Servpro of Central Brevard","Servpro of Central Brevard","2193 W. King Street, Suite C","Cocoa","FL","32926","Raymond Owens","Reowens@Servpro8356.com",,"2020-12-4 11:19:42"
"159","1","ServPro of North Miami","ServPro of North Miami","9480 ne 2nd Ave unit 56","Miami shores","FL","33138","(954) 921-8992","david@servpro10927.com",,"2020-12-4 11:22:18"
"160","1","ProCare Restoration Services","ProCare Restoration Services","4740 Talon Ct. SE  Suite 4","Grand Rapids","MI","49512","Ken Lamontagne - Vice President","ken@procareteam.com",,"2020-12-4 11:05:09"
"162","1","Kustom US","Kustom US","265 Hunt Park Cove","Longwood","FL","32750","Marks, Kimberly","kim.marks@kustom.us",,"2020-12-4 10:58:18"
"164","2","Southeast Catastrophe Consulting Company","Southeast Catastrophe Consulting Company","703 Fairhope Avenue","Fairhope","AL","36532","Evans, Robert","robert.evans@southeastccc.com",,"2022-6-22 09:41:37"
"165","1","Rescue Clean 911","Rescue Clean 911","11134 Alameda Bay Ct.","Wellington","FL",,,"info@rescueclean911.com",,"2020-12-4 11:15:07"
"166","1","ServPro of N. Fort Myers/Punta Gorda","ServPro of N. Fort Myers/Punta Gorda","315 E Olympia Ave UNIT 224","Punta Gorda","FL","33950","(239) 573-7911","srone@servpro10407.com",,"2020-12-4 11:20:15"
"167","1","ServiceMaster Restore service master by Alpha Restoration","ServiceMaster Restore","1421 sw 107th ave, Suite 223","miami","FL","33174",,"servicemasterbyalpha@gmail.com andl jsmith@servicemasteralpha.com",,"2020-12-23 10:56:21"
"168","6","Space invaders LL","Space invaders LL","34 NE 11 street","Miami","FL","33132","Ivy Bernardo","Ivy@clubspace.com","2019-9-21 18:07:11","2020-12-4 11:26:56"
"169","1","Rapid Response Team of Delray Beach","Rapid Response Team of Delray Beach","905 SW 14th Ave.","Delray Beach","FL","33444","David Griscom - Branch Manager","dgriscom@RRTFL.com",,"2020-12-4 11:14:39"
"170","1","Nova Construction","Nova Construction",,,,,,"tony@nova-construction.com","2019-10-14 10:44:07","2020-12-4 11:01:33"
"171","2","Auto Club - ACICF","Auto Club",,,,,,,"2019-10-16 10:33:01","2020-12-4 10:37:24"
"173","1","Rapid Response - Panama City","Rapid Response - Panama City","235 E Beach Drive","Panama City","FL","32401","(852) 704-8131",,,"2020-12-4 11:13:33"
"174","9","Preferred Repair Network","Preferred Repair","c/o Profile Gorilla 5230 Land O Lakes Blvd #416","Land O Lakes Blvd.","FL","34639","Paul Neilson",,,"2021-5-28 11:28:49"
"175","2","FIRST CHOICE","FIRST CHOICE INSURANCE","212 PINEGROVE DR","PINEVILLE","LA","71360",,,"2019-11-1 09:36:54","2020-12-4 10:51:32"
"176","1","BELFOR Property Restoration","BELFOR Property Restoration","5433 West Crenshaw Street","Tampa","FL","33634","Tara Siewdass","tara.siewdass@us.belfor.com",,"2020-12-4 10:43:07"
"177","1","Baxter Restoration of Jacksonville","Baxter Restoration of Jacksonville","8880 Corporate Square Ct Unit 3","Jacksonville","FL","32216","Robert Huffman - Branch Supervisor/Project Manager","rhuffman@baxterrestoration.com",,"2020-12-4 10:38:20"
"178","1","Servpro of Winter Park","Servpro of Winter Park","665 Jackson Ave","Winter Park","FL","32789","Daliann Lopez (Dee) - Office Manager","Daliann.Lopez@servprowinterpark.com",,"2020-12-4 11:23:18"
"179","1","SERVPRO of Sunrise","SERVPRO of Sunrise","4500 N Hiatus Rd #206","Sunrise","FL","33351",,"sp9489@servproofsunrise.com",,"2020-12-4 11:23:03"
"180","1","Rapid Response Team of Jacksonville - CAT","Rapid Response Team of Jacksonville - CAT","9774 Florida Mining Blvd. West, Suite 701-704","Jacksonville","FL","32257","Todd Smith - Branch Manager - Richard Steward CAT CREW Manager","tsmith@RRTFL.com",,"2020-12-4 11:14:47"
"181","1","Servpro of South Orlando","Servpro of South Orlando","4061 Forrestal Ave Suite 6","Orlando","FL","32806","Dan Hougaart / Marilyn Palacios","dhoug@outlook.com",,"2020-12-4 11:22:48"
"182","6","ESI engineering","ESI",,,,,,"MAUNDERWOOD@ENGSYS.COM","2020-1-12 14:57:02","2020-12-4 10:50:35"
"183","1","SERVPRO of Weston/West Davie","SERVPRO of Weston/West Davie","15951 SW 41st Street, Suite 300 FL","Davie","FL","33331","Russ Locandro - President","rlocandro@servpro10809.com",,"2020-12-4 11:23:11"
"184","1","MVP Environmental","MVP","4100 N Powerline Road, Suite B1","Pompano Beach","FL","33073",,,,"2020-12-4 11:00:32"
"185","1","Bioclean Property Restoration","Bioclean Property Restoration","2331 Northwest 30th Street","Oakland Park","FL","33311","(561) 221-1465","Clint@biocleanPR.com / Justin@biocleanPR.com",,"2020-12-4 10:42:35"
"186","2","TypTap Insurance Company","TypTap","3001SE Maricamp Road","Ocala","FL","34471","(844) 289-7968",,"2020-2-13 10:23:17","2021-11-5 13:34:28"
"188","2","Peninsula Insurance Bureau","Peninsula","6065 NW 167th Street, SUite B-1","MIami","FL","33015",,"mspoutz@pibadjusters.com","2020-2-17 13:15:54","2020-12-4 11:04:11"
"190","2","Ryze Claims","Ryze Claims","2945 Bay Meadow Court","Clearwater","FL","33761","Hidalgo, Ignacio","nas.hidalgo@ryzeclaims.com",,"2020-12-4 11:17:50"
"191","2","Southern Oak","Southern Oak","830 A1A North, Suite #13-326","Ponte Vedra Beach","FL","32082",,,"2020-3-31 13:35:36","2021-9-16 13:11:02"
"192","2","Stillwater Insurance Group","Stillwater","4905 Belfort Road, Suite 110","Jacksonville","FL","32256","Yvonne Wrisbon - Large Loss Specialist",,,"2020-12-4 11:27:35"
"193","9","TradePlus Network","TradePlus",,,,,"Shane Lange","slange@tradeplus.net","2020-4-17 10:36:32","2022-6-22 09:38:09"
"194","1","Beacon LLC","Beacon LLC","P.O. Box 2182","Winter Park","FL","32790",,"ryan@beaconrestoration.com and ryan.m.paul1@gmail.com","2020-5-5 14:17:03","2021-3-29 13:42:52"
"195","6","Geohazards Engineering and Geology","Geohazards","1204 13th Street","Gainsville","FL","32601",,"admin@geiohazardsinc.com","2020-5-14 13:28:05","2020-12-4 10:53:45"
"196","1","Home Angels","Home Angels","755 NW 17th Ave, #105","Delray Beach","FL",,"Nick","nick@homeangelsfl.com",,"2021-3-29 14:23:43"
"197","1","Paul Davis of Restoration and Remodeling Team","Paul Davis Restoration Palm Beach","2781 Vista Pkwy, Suite K12","West Palm Beach","Fl","33411","Sherry",,,"2021-3-29 16:35:56"
"198","1","ServPro of North Miami/Hollywood/Aventura","ServPro of North Miami/Hollywood/aventura","9480 ne 2nd Ave unit 56","Miami shores","FL","33138","(954) 921-8992","david@servpro10927.com",,"2020-12-4 11:22:26"
"199","1","Restoration Xperts","Restoration Xperts","1130 S Powerline Road","Deerfield","FL","33442",,"sthomas@restorationxperts.net","2020-6-2 12:24:25","2020-12-4 11:15:20"
"200","6","Skor  Home concierge","Skor Home Concierge",,,,,"(561) 479-8125",,"2020-6-2 14:40:26","2020-12-4 11:24:02"
"201","1","Baxter Restoration - Orlando","Baxter Restoration - Orlando","1106 W Central Blvd","Orlando","FL","32805","Rob Huffman","rhuffman@baxterrestoration.com",,"2020-12-4 10:38:09"
"202","1","ServiceMaster by Reed","ServiceMaster By Reed",,,,,"Nia Mahabir office manager","smreedoffice1@aol.com","2020-6-8 14:35:25","2020-12-4 11:18:46"
"203","1","BioBusters Remediation LLC","BioBusters",,,,,,,"2020-6-15 21:17:11","2020-12-4 10:42:45"
"204","2","STATEFARM INSURANCE","STATEFARM INSURANCE",,,,,,,"2020-7-23 09:25:01","2020-12-4 11:27:27"
"206","2","Lighthouse Property Insurance Corporation","Lighthouse Property Insurance","500 W 2nd Street, Suite 1900 #203","Austin","TX","78701",,,"2020-8-4 14:45:20","2020-12-4 10:58:47"
"207","2","Vault Insurance","Vault Insurance","300 First Ave. South, Suite 401","St. Petersburg","FL","33701","Wardell Johnson","wardell.johnson@vault.insurance","2020-8-4 17:31:13","2021-5-12 13:06:03"
"208","9","TEXAS FARM BUREAU","TEXAS FARM BUREAU",,,"TEXAS",,,,"2020-8-5 16:49:24","2020-12-4 11:28:10"
"209","6","Florida Contractors","Florida Contractors","14113 NW 8th Street","Sunrise","FL","33325",,"Tony@flcontractors.com","2020-8-6 14:44:16","2020-12-4 10:51:51"
"210","2","NATIONAL GENERAL INSURANCE","NATIONAL GENERAL INSURANCE",,,,,,,"2020-8-17 15:36:17","2020-12-4 11:00:39"
"211","2","Bankers Insurance","Bankers Insurance","11101 Roosevelt Blvd N,","St,. Petersburg","FL","33716",,"Jeannette.stacks@bankersinsurance.com","2020-8-27 11:53:18","2022-5-26 15:53:31"
"212","2","Shelter Insurance","Shelter Insurance",,,,,,,"2020-8-28 11:32:25","2020-12-4 11:23:49"
"213","2","Seibels","Seibels",,,,,,,"2020-9-7 08:53:52","2022-2-18 12:47:38"
"214","1","Servpro of Brandon/North Riverview","Servpro of Brandon/North Riverview","6528 US-301 Building 109","Riverview","FL","33578","Brian Jones or Joshua",,"2020-9-23 12:52:53","2020-12-4 11:19:34"
"215","1","Rapid Response Team - Pensacola","Rapid Response Team - Pensacola","7091 Davis Creek Road","Jacksonville","FL","32257",,,"2020-9-25 09:29:08","2021-7-6 11:38:53"
"216","6","Jupiter Management","Jupiter Mgmt","1340 US Highway One, Suite 102","33469","FL",,,,"2020-10-23 12:27:30","2020-12-4 10:57:41"
"217","2","Swyfft","Swyfft",,,,,,,,"2021-9-30 16:09:08"
