"id","finance_info"
"82","04/08/2019 -  (by Cynthia) 
 04/03/2019 -  (by Cynthia) 
 03/27/2019 - 03/27/2019 - 3/27 - emailed all again for payment status--lft msg for christina & stephanie - michelle even lft msg for maddie & christina...finally recd a call back from Stephanie advising that she's calling citizens to find out the status & get approval to advance pay us-she'll call me back this week no later than friday..advsd her that we're about to send out NTO's for these invoices..
3/27 - confirmed w/michelle that if we don't recv any call/reply back from stephanie by Friday--we'll process NTO's  send to the homeowners.... (by Cynthia) (by Cynthia) 
 03/25/2019 - 3/25 - recd email from angela stating: Invoices where submitted to the accounting department. Please allow 3 to 6 months to receive payment from Citizens.. called Angela immed..asked her why 3-6 months she advsd they are waiting on pymnt from citizens..advsd her that our authorizations are signed by your company and payment comes directly from you-she advsd me to speak with claudette & she can advise me who to speak to etc..spoke to claudette she gave me madeline's email as she handles our invoices...i emailed madeline.chaparro@kubickidraper.com, stephanie, cc: joa, angela & christina asking for payment status-advising them that they signed our authroizations payment is due from them not the insurance company-gave them til end of business day today for payment status.. (by Cynthia) 
 03/19/2019 - 3/19 - spoke to angela, she advsd she hasn't taken a look at the invoices as of yet as they are down 2 office personnel--she did advsd that citizens does take a few months for payment, she agreed give me an update no later than Monday, March 25th. 
3/15 - recd email from angela w/kubicki requesting more info - case names..emailed her the invoices, name & address. (by Cynthia) 
 03/15/2019 -  (by Cynthia) 
 03/15/2019 - 3/15 - sent aging report to angela.restrepo@kubickidraper.com (by Cynthia) 
 03/12/2019 - 3/12 sent past due statement to Magdalena via QB.. (by Cynthia) 
 03/11/2019 -  (by Cynthia) 
 02/21/2019 - Send follow up email to Kubicki (by Michelle) 
 "
"87","04/10/2019 - 4/10 - recd email fro m latarpha w/cititzens advising payment in full was mailed directly to us-s/b recv by the end of the week 4/12 (by Cynthia) 
 04/02/2019 - 4/2 recd call from marc broad 954-258-4981 asking for our W9 as he's sending out payment  for this invoice...emailed it to him the W9 marc.broad@citizensfla.com (by Cynthia) 
 03/27/2019 - 03/27/2019 - 3/27 - emailed all again for payment status--lft msg for christina & stephanie - michelle even lft msg for maddie & christina...finally recd a call back from Stephanie advising that she's calling citizens to find out the status & get approval to advance pay us-she'll call me back this week no later than friday..advsd her that we're about to send out NTO's for these invoices..
3/27 - confirmed w/michelle that if we don't recv any call/reply back from stephanie by Friday--we'll process NTO's  send to the homeowners.... (by Cynthia) (by Cynthia) 
 03/25/2019 - 3/25 - recd email from angela stating: Invoices where submitted to the accounting department. Please allow 3 to 6 months to receive payment from Citizens.. called Angela immed..asked her why 3-6 months she advsd they are waiting on pymnt from citizens..advsd her that our authorizations are signed by your company and payment comes directly from you-she advsd me to speak with claudette & she can advise me who to speak to etc..spoke to claudette she gave me madeline's email as she handles our invoices...i emailed madeline.chaparro@kubickidraper.com, stephanie, cc: joa, angela & christina asking for payment status-advising them that they signed our authroizations payment is due from them not the insurance company-gave them til end of business day today for payment status.. (by Cynthia) 
 03/19/2019 - 3/19 - spoke to angela, she advsd she hasn't taken a look at the invoices as of yet as they are down 2 office personnel--she did advsd that citizens does take a few months for payment, she agreed give me an update no later than Monday, March 25th. 
3/15 - recd email from angela w/kubicki requesting more info - case names..emailed her the invoices, name & address. (by Cynthia) 
 03/15/2019 -  (by Cynthia) 
 03/15/2019 - 3/15 - sent aging report to angela.restrepo@kubickidraper.com (by Cynthia) 
 03/15/2019 - 3/14 - spoke to christina w/kubicki advsd magdalena is no longer there, she's emailing me the billing contact for our invoices. (by Cynthia) 
 03/11/2019 - 3/11 sent Magdalena.espinoa@kubickidraper.com outstanding invoices (by Cynthia) 
 02/19/2019 - Sent Christina an email following up on 30 day invoice.  Send follow up email 03/09. (by Michelle) 
 "
"89","01/10 followed up with Servpro. They stated that they will be sending a check to us this week."
"96","02/25/2019 - 02/25 - Sent Elaine and Greg email about payment of our invoice. (by Michelle) 
 "
"98","04/10/2019 - 4/10 - recd call & email from Christina advising citizens approved payment for this invoice last week(forwarded email shows Madeline was advised of this on 4/4--) (by Cynthia) 
 04/09/2019 -  (by Cynthia) 
 04/08/2019 -  (by Cynthia) 
 04/03/2019 -  (by Cynthia) 
 03/27/2019 - 3/27 - emailed all again for payment status--lft msg for christina & stephanie - michelle even lft msg for maddie & christina...finally recd a call back from Stephanie advising that she's calling citizens to find out the status & get approval to advance pay us-she'll call me back this week no later than friday..advsd her that we're about to send out NTO's for these invoices..
3/27 - confirmed w/michelle that if we don't recv any call/reply back from stephanie by Friday--we'll process NTO's  send to the homeowners.... (by Cynthia) 
 03/25/2019 - 3/25 - recd email from angela stating: Invoices where submitted to the accounting department. Please allow 3 to 6 months to receive payment from Citizens.. called Angela immed..asked her why 3-6 months she advsd they are waiting on pymnt from citizens..advsd her that our authorizations are signed by your company and payment comes directly from you-she advsd me to speak with claudette & she can advise me who to speak to etc..spoke to claudette she gave me madeline's email as she handles our invoices...i emailed madeline.chaparro@kubickidraper.com, stephanie, cc: joa, angela & christina asking for payment status-advising them that they signed our authroizations payment is due from them not the insurance company-gave them til end of business day today for payment status.. (by Cynthia) 
 03/19/2019 - 3/19 - spoke to angela, she advsd she hasn't taken a look at the invoices as of yet as they are down 2 office personnel--she did advsd that citizens does take a few months for payment, she agreed give me an update no later than Monday, March 25th. 
3/15 - recd email from angela w/kubicki requesting more info - case names..emailed her the invoices, name & address. (by Cynthia) 
 03/15/2019 -  (by Cynthia) 
 03/15/2019 - 3/15 - sent aging report to angela.restrepo@kubickidraper.com (by Cynthia) 
 03/15/2019 - 03/15/2019 - 3/14 - spoke to christina w/kubicki advsd magdalena is no longer there, she's emailing me the billing contact for our invoices. (by Cynthia) 
 02/13/2019 - Send follow up email to Kubicki (by Michelle) 
 "
"103","03/14/2019 - 3/14 - recd email from Marilyn advising all invoices are on the desk for payment . they will advise when mike mails out the check. (by Cynthia) 
 "
"105","02/21/2019 - Send follow up email to adjuster and send Friendly ltr to h/o. (by Michelle) 
 02/05 email from Debra - Please send your W9
Mailing Address
PO Box 26210
Shawnee Mission, KS 66225
Tel +1 561 459 7776 | Fax + 1 866 858 9356 debra.osborne@aig.com | www.aig.com"
"109","03/14/2019 - 3/14 - recd email from Marilyn advising all invoices are on the desk for payment . they will advise when mike mails out the check. (by Cynthia) 
 "
"118","03/22/2019 - 3/22 - called bonnie - her mailbox is full...emailed her to coverage status... (by Cynthia) 
 03/21/2019 -  (by Cynthia) 
 03/21/2019 - 3/21  - tried to call Bonnie 252-269-3134 no answer..spoke to Darlene w/customer service..she can't see the notes-sending task msg to bonnie to call us..just need to know if there's coverage-so we know which direction to take the collections.. (by Cynthia) 
 03/20/2019 - 3/20 - called Bonnie 252-269-3134@Prepared no answer--emailed her for coverage status (by Cynthia) 
 03/15/2019 - 3/14- spoke to Bonnie the supervisor w/Prepared insurance as holly is no longer there...she advised that this is a loss from Hurricane Irma-which was reopened, there is not wind damage & believes no coverage for the tarps we have installed..she did advise that there's a lawyer from the HO & may cause this to take longer. she agreed to review all the case notes & will update me on the coverage by next wednesday 3/20..i advsd her that we may need to process a lien & don't want to hurt our relationship w/Prepared-she agreed & understands as we need to get paid. i emailed her the new info for the 2nd tarp service that we provided bwinters@fieldprosdirect.com (by Cynthia) 
 03/05/2019 -  (by Michelle) 
 03/05/2019 - 03/05: called and left a message for Conrad Cooper, and Holly with Prepared regarding status of payment on our account.   Called and spoke with the lawyer regarding payment and he advised to speak with the adjuster. (by Michelle) 
 03/04/2019 -  (by Michelle) 
 03/04/2019 - 03/4 - also sent email to Lerman and Ryan Bennett, attorney (by Michelle) 
 03/04/2019 - 03/04/19 - Sent reminder ltr. 
Next send final letter. (by Michelle) 
 02/25/2019 - call customer and follow up with insurance company (by Michelle) 
 01/30 sent invoice to adjuster at prepared.  02/04 - sent final billing packet to insured."
"123","03/14/2019 - 3/14 - recd email from Marilyn advising all invoices are on the desk for payment . they will advise when mike mails out the check. (by Cynthia) 
 "
"124","03/22/2019 - 3/22 - called bonnie - her mailbox is full...emailed her to coverage status... (by Cynthia) 
 03/21/2019 - 3/21  - tried to call Bonnie 252-269-3134 no answer..spoke to Darlene w/customer service..she can't see the notes-sending task msg to bonnie to call us..just need to know if there's coverage-so we know which direction to take the collections.. (by Cynthia) 
 03/20/2019 - 3/20 - called Bonnie 252-269-3134@Prepared no answer--emailed her for coverage status (by Cynthia) 
 03/15/2019 - 3/14- spoke to Bonnie the supervisor w/Prepared insurance as holly is no longer there...she advised that this is a loss from Hurricane Irma-which was reopened, there is not wind damage & believes no coverage for the tarps we have installed..she did advise that there's a lawyer from the HO & may cause this to take longer. she agreed to review all the case notes & will update me on the coverage by next wednesday 3/20..i advsd her that we may need to process a lien & don't want to hurt our relationship w/Prepared-she agreed & understands as we need to get paid. i emailed her the new info for the 2nd tarp service that we provided bwinters@fieldprosdirect.com (by Cynthia) 
 02/21/2019 - Sent Final billing letter to h/o and invoice to adjuster, Holly.   Sent Friendly reminder. 03/21 (by Michelle) 
 02/21/2019 -  (by Michelle) 
 "
"129","03/14/2019 - 3/14 - recd email from Marilyn advising all invoices are on the desk for payment . they will advise when mike mails out the check. (by Cynthia) 
 "
"140","02/19/2019 -  (by Michelle) 
 02/19/2019 -  (by Michelle) 
 02/18/2019 - Send Friendly letter (by Michelle) 
 02/05 sent  final billing letter to h/o."
"142","02/21/2019 - Call Josh with Discreet (by Michelle) 
 02/12/2019 - Follow up discreet (by Augusto) 
 02/12/2019 - test 3 (by Augusto) 
 02/12/2019 - letter sent! (by Augusto) 
 02/12/2019 - Teste 1 (by Augusto) 
 "
"144","Email to Jessica Arenell regarding status of payment. 02/05 - jessica emailed back and she will be issuing payment today."
"145","02/05 - Email to Safepoint regarding status of payment.  Invoice was never submitted."
"148","02/25/2019 -  (by Augusto) 
 "
"151","02/21/2019 - Call Josh with discreet (by Michelle) 
 02/14/2019 -  (by felipe) 
 02/14/2019 -  (by Michelle) 
 02/14/2019 -  (by Michelle) 
 02/14/2019 -  (by Michelle) 
 02/14/2019 -  (by Michelle) 
 02/13/2019 -  (by Michelle) 
 "
"157","02/15/2019 -  (by Michelle) 
 02/15/2019 -  (by Michelle) 
 "
"158","03/04/2019 -  (by Michelle) 
 "
"159","02/15/2019 -  (by Augusto) 
 02/14/2019 -  (by Michelle) 
 "
"160","02/18/2019 -  (by Michelle) 
 "
"161","04/23/2019 - 4/23 - recd email from Marilyn stating:  this check is scheduled to go in Friday's mail... (by Cynthia) 
 04/23/2019 - 4/23 - emailed marilyn for payment status on this invoice..
4/16 - marilyn w/servo pro requested copy of invoice.. (by Cynthia) 
 04/16/2019 - 4/16 - emailed servpro aging report... (by Cynthia) 
 03/14/2019 -  (by Cynthia) 
 02/14/2019 -  (by Michelle) 
 "
"162","02/15/2019 -  (by Augusto) 
 02/14/2019 -  (by Michelle) 
 "
"163","02/13/2019 - Lidor from Reich Construction Group is paying us (954) 815-5450 (by Augusto) 
 "
"164","02/15/2019 -  (by Michelle) 
 "
"165","02/15/2019 -  (by Michelle) 
 "
"166","02/15/2019 -  (by Michelle) 
 "
"167","02/15/2019 -  (by Michelle) 
 "
"168","02/15/2019 -  (by Michelle) 
 "
"169","02/14/2019 -  (by Michelle) 
 "
"170","02/18/2019 -  (by Augusto) 
 02/18/2019 -  (by Michelle) 
 "
"171","02/15/2019 -  (by Michelle) 
 "
"172","02/15/2019 -  (by Michelle) 
 "
"174","02/18/2019 -  (by Michelle) 
 "
"175","02/18/2019 -  (by Augusto) 
 02/18/2019 -  (by Michelle) 
 "
"176","02/20/2019 -  (by Michelle) 
 "
"178","03/14/2019 -  (by Michelle) 
 "
"179","02/21/2019 -  (by Michelle) 
 "
"180","02/21/2019 - Send follow up email to Ross Brothers. (by Michelle) 
 02/18/2019 -  (by Michelle) 
 "
"181","02/18/2019 -  (by Augusto) 
 02/18/2019 -  (by Michelle) 
 "
"182","02/18/2019 -  (by Michelle) 
 "
"183","02/18/2019 -  (by Augusto) 
 02/18/2019 -  (by Michelle) 
 "
"184","05/28/2019 - 5/28 - recd email from jerry stating: I got this worked out.  Lynn forgot that she recommended you all for this job and even forgot what it was for.  Lynn was sick and was hospitalized for some time and did limited work from home.  I spoke to her and told her how we were responsible.  I apologize for the inconvenience.  Lynn is processing for payment today.  Don't know how long it takes after.  Check back with me next week and I'll check. (by Cynthia) 
 05/28/2019 - 5/28-spoke to lynn this morning..claimed she hasn't recd any of my emails..confirmed email address..she doesn't even remember speaking to me about the cost of our invoice--she advsd claim was denied & sent to llyods of london for approval..HO did obtain a lawyer because the claim was denied..she states that she can't advise of payment until coverage is determined..questioned her that if it's denied, then isn't that determine the coverage..i advsd her that i only have a few days to process this lien if we don't get paid..she can not advise of payment..gave her my email & phone # to follow up...will send out letter to HO advising need payment by 6/9 or collection will proceed. (by Cynthia) 
 05/20/2019 - 5/20 - sent email to lynn (2nd time) regarding invoice amount..advsd her we can reduce it to 99¢ a sqft (total$3185.41) no reply....emailed her now asking for payment status... (by Chris) 
 05/09/2019 - 5/9 - recd call from lynn w/crawford on 5/6 advising that this claim is being denied but they want to pay our invoice-they feel it's a little to high of a price. she didn't understand why we couldn't use the same tarp..i explained to her that the intial tarp was installed w/nails by another company-therefore, when we removed the tarp for the inspection we were not able to use it (shredded etc) so we had to install a new tarp. i requested her to email me the request to reduce the price so i can give it to my manager..she agreed. as of 5/9 still have not received her email..jerry did send me her email address..michelle approved for me to reduce the invoice to 99¢ a sqft for the new tarp which will bring the invoice amount to $3185.41. 5/9 - emailed lynn & jerry the new price asking if this will do... (by Cynthia) 
 05/06/2019 - 5/6 - spoke to jerry..advsd that they had an engineer come out--it's now w/lloyds of london..he requested me to email him again for payment status and he'll contact them..o.k. to follow up in 1 1/2 week. (by Cynthia) 
 04/29/2019 - 4/29 - emailed Jerry for payment update... (by Cynthia) 
 04/16/2019 - 4/16 - spoke to Jerry 954-257-1291..confirmed billing was sent to incorrect email..s/b jerry_balester@us.crawco.com--he advsd send it over & he make sure we get paid..coverage not an issue as he called us out there... (by Cynthia) 
 04/10/2019 - NTO: 4/24  LIEN: 6/9
4/10 - Left message for Lynn 610-295-0258 (Crawford) for payment status--emailed Jerry_ballester@uscrawco.com for payment status as well. Will send out a reminder letter to the HO... (by Cynthia) 
 03/14/2019 - 3/14 HO ltr mailed out (by Cynthia) 
 03/12/2019 - Follow up with friendly ltr. (by Michelle) 
 "
"185","02/20/2019 -  (by Michelle) 
 "
"186","02/22/2019 -  (by Michelle) 
 "
"187","02/22/2019 -  (by Michelle) 
 "
"188","02/25/2019 -  (by Michelle) 
 "
"189","02/25/2019 -  (by Michelle) 
 "
"190","02/25/2019 -  (by Chris) 
 "
"191","02/26/2019 -  (by Michelle) 
 "
"192","02/28/2019 -  (by Michelle) 
 "
"193","04/01/2019 -  (by Cynthia) 
 03/29/2019 - 3/29 - recd cc email from richard.colosimo@citizensfla.com stating: Spoke with your owner and your invoice has been approved for full amount.  Expect payment  no later than Monday Tuesday this coming week (by Cynthia) 
 03/27/2019 - 3/27 spoke  to kiana w/customer service advsd she can't see any notes, gave me the adjusters name & phone #...Richard Colosimo 888-621-9910 ext 60088... 3/27 - lft msg for Richard (by Cynthia) 
 03/07/2019 - 03/07 Adjuster called and wanted know what the dol was.  H/o filled out 08/30/2017.  he will look into file and get back with us.   They will need to provide a correct claim number (by Michelle) 
 02/28/2019 -  (by Michelle) 
 02/28/2019 - We should charge $1050 from the homeowner insurance.
We should pay $150 fee to Ross brothers for the lead. (by Chris) 
 "
"194","03/14/2019 -  (by Michelle) 
 "
"196","04/16/2019 - 4/16 - spoke to rose w/cust svc--advsd payment in the amount of $4328.49 was processed on 4/15/2019-payable/mailed to us (this covers both invoices for this homeowner). (by Cynthia) 
 04/08/2019 - 4/8 - sent reminder ltr to HO for both invoices. (by Cynthia) 
 04/08/2019 - 4/8 spoke to reyna w/cust svc advsd no new updates..supervisor has not reviewed the final report-it may take up to 90 days for coverage to be determined..camile is still the adjuster for this claim..advsd her that we will be processing a NTO & email camile to advise. (by Cynthia) 
 04/02/2019 - 4/2- spoke to annette w/cust svc advsd that coverage has not yet been determined..this has been sent to the supervisor for final review..she gave me camile's ext 6156..lft her a voicemail & emailed her again for payment status...
LAST DAY FOR NTO: 4/12   LAST DAY TO LIEN: 5/29 (by Cynthia) 
 03/19/2019 - 03/19/2019 - 3/19-spoke to deshawn w/cust servc advsd they are just awaiting on the adjusters report to determine payment status...this may take some time as it's based on the adjusters volume..will send email to adjuster Camile Wilson CW0704@universalproperty.com for status.. (by Cynthia) (by Cynthia) 
 03/04/2019 - 03/4 Sent h/o letter.  Sent friendly ltr. (by Michelle) 
 "
"198","04/01/2019 - 4/1 spoke to crystal..she advsd she's sending these  invoices to acct for payment..gave me 2 add'l email addresses to send out statement to: crystal@rossbrothers.com scott@rossbrothers.com
3/29 emailed past due statement to tony@rossbrothers.com (by Cynthia) 
 03/28/2019 -  (by Cynthia) 
 03/15/2019 -  (by Cynthia) 
 03/04/2019 -  (by Michelle) 
 "
"199","03/11/2019 -  (by Augusto) 
 03/04/2019 -  (by Michelle) 
 "
"200","03/08/2019 -  (by Michelle) 
 "
"201","03/08/2019 -  (by Michelle) 
 03/06/2019 - We must charge $125.00 (by Chris) 
 "
"202","03/08/2019 -  (by Michelle) 
 "
"203","03/14/2019 -  (by Michelle) 
 03/04/2019 -  (by Michelle) 
 "
"204","03/11/2019 -  (by Cynthia) 
 "
"205","03/14/2019 -  (by Michelle) 
 02/28/2019 -  (by Michelle) 
 "
"207","03/11/2019 -  (by Cynthia) 
 "
"209","03/12/2019 -  (by Cynthia) 
 "
"210","03/14/2019 -  (by Michelle) 
 "
"211","03/15/2019 -  (by Cynthia) 
 "
"212","03/14/2019 -  (by Michelle) 
 "
"213","04/16/2019 - 4/16 - spoke to rose w/cust svc--advsd payment in the amount of $4328.49 was processed on 4/15/2019-payable/mailed to us (this covers both invoices for this homeowner). (by Cynthia) 
 04/08/2019 - 4/8 spoke to reyna w/cust svc advsd no new updates..supervisor has not reviewed the final report-it may take up to 90 days for coverage to be determined..camile is still the adjuster for this claim..advsd her that we will be processing a NTO & email camile to advise. (by Cynthia) 
 04/02/2019 - 4/2- spoke to annette w/cust svc did confirm the receipt of this billing packet..camile wilson is the adjuster ext 6156 cw0704@universalproperty.com
LAST DAY NTO: 4/25   LAST DAY LIEN: 6/ (by Cynthia) 
 03/19/2019 -  (by Cynthia) 
 03/19/2019 -  (by Cynthia) 
 03/19/2019 - 3/19-disregard previous note regarding payment status..that was for the 1st job. 3/19-left message for HO to contact us as we need the signed authorization. (by Cynthia) 
 03/19/2019 - 3/19-spoke to deshawn w/cust servc advsd they are just awaiting on the adjusters report to determine payment status...this may take some time as it's based on the adjusters volume..will send email to adjuster Camile Wilson CW0704@universalproperty.com for status.. (by Cynthia) 
 03/04/2019 - 03/4 Sent h/o letter.  Sent friendly ltr. (by Michelle) 
 "
"214","05/08/2019 - 5/8 - spoke to elizabeth w/cust svc -- advsd payment in full was processed today-mailing out tomorrow.. (by Cynthia) 
 04/30/2019 - 4/30 - spoke to lisette w/cust serv advsd still under review w/paul borgan..coverage is still being determined... (by Cynthia) 
 04/23/2019 - 4/23 - spoke to elizabeth w/cust svc advsd coverage is still pending--we're a preferred vendor-even if it's not covered-fla/edi called us out, we'll still get paid-just may take a little more time.... (by Cynthia) 
 04/16/2019 - 4/16 - recd email from lee w/fla peninsula stating: Coverage is still pending on this one
4/16 - emailed emsbillreview2 for payment status... (by Cynthia) 
 03/18/2019 -  (by Cynthia) 
 03/18/2019 -  (by Cynthia) 
 03/18/2019 -  (by Cynthia) 
 "
"215","03/18/2019 -  (by Cynthia) 
 03/18/2019 -  (by Cynthia) 
 02/21/2019 - Send follow up email to adjuster and send Friendly ltr to h/o. (by Michelle) 
 02/05 email from Debra - Please send your W9
Mailing Address
PO Box 26210
Shawnee Mission, KS 66225
Tel +1 561 459 7776 | Fax + 1 866 858 9356 debra.osborne@aig.com | www.aig.com"
"216","03/21/2019 -  (by Michelle) 
 02/25/2019 -  (by Michelle) 
 "
"220","03/26/2019 -  (by Cynthia) 
 "
"221","03/28/2019 -  (by Cynthia) 
 03/27/2019 -  (by Cynthia) 
 03/26/2019 -  (by Cynthia) 
 "
"222","04/11/2019 - 3/22 - per notes from JTR: Also, the subject of billing for a service call came up with the visit to Greg Buttrey on the west coast. That opportunity has been marked No Job.
Clegg told me we are unable to bill for tarps when homeowners refuse our services. Where possible, we want to be as sure as we can that services will be accepted so we don’t waste the valuable time of your staff. (by Cynthia) 
 03/19/2019 -  (by Cynthia) 
 "
"223","03/27/2019 - 03/27/19 - reviewed xactware and Sedgwick forwarded uploaded photo report and invoice to Client. (by Michelle) 
 03/18/2019 - 3/18 - all info uploaded/complete in xactanalysis (by Cynthia) 
 03/18/2019 -  (by Cynthia) 
 03/18/2019 -  (by Cynthia) 
 "
"224","03/20/2019 -  (by Cynthia) 
 "
"226","03/07/2019 - 03/07 Adjuster called and wanted know what the dol was.  H/o filled out 08/30/2017.  he will look into file and get back with us.   They will need to provide a correct claim number (by Michelle) 
 02/28/2019 -  (by Michelle) 
 02/28/2019 - We should charge $1050 from the homeowner insurance.
We should pay $150 fee to Ross brothers for the lead. (by Chris) 
 "
