"id","claim_number"
"514","01-19475"
"515",
"516","HO0519284766"
"517","HCI-891238"
"518","173960"
"519","HO0519284766"
"520","FPH4163577"
"521","EDI934199-00"
"522","17688"
"524","FPI-206754"
"525","FL19-0114319"
"526",
"527","17669"
"528","FPI-206857-00"
"529",
"530","39542"
"532",
"533","092019010812"
"534","683666803"
"535",
"537",
"538","39514"
"539","CL19201615"
"540",
"541",
"544","FPH4163577"
"546","01-19875"
"547",
"548",
"549","589176"
"550",
"551",
"552","FPH4163577"
"553",
"554",
"555","01-21082"
"556","CLAIMNUNBER"
"557","EDI933776"
"558","DF0519285632"
"561","HP195749"
"563","HO0119280269"
"564","HO0519285433"
"565","17679"
"566","01-19813"
"567","FPI-207065"
"568","01-21161"
"569",
"570","01-19153"
"571",
"572","FPI-207148-00"
"573",
"574",
"575","12898"
"576",
"577","12345"
"578","20183893"
"579",
"580",
"581","01-19153"
"582","2019 FL227865"
"583","FPI077282"
"584","HO0119280269"
"587",
"592","FPI-206857-00"
"596","2019 FL227865"
"597",
"598","FPI-207065"
"599",
"600",
"601",
"602","30192757204-0001"
"603","173960"
"604",
"605",
"606","30192757204-0001"
"607","12345"
"608","38914"
"609",
"610",
"611","3300315949"
"612","892937"
"613","HO0519287383"
"614",
"615","C00252848"
"616","003224962-002"
"617",
"618","HO0519287404"
"619","EDI934199-00"
"620","FPI-207578"
"621",
"622","2019FL224578"
"623",
"624",
"625",
"626","120100034305"
"627","01-21762"
"628","FPH4163577"
"629","003224962-002"
"630",
"631",
"632",
"633","01-19153"
"634",
"635","FPI207595"
"636","3300315949"
"637",
"638","HO0519287384"
"639","OIC20190600168"
"640","PO# CFL17524854"
"641","HO0519287667"
"642","HO0519287401"
"643",
"644","39794"
"645",
"646","HP197142"
"647",
"648","FPI-207148-00"
"649","80108623"
"650","934661"
"651","39847"
"652","599267g27 - Policy Number 80-b5-L967-6"
"653","120100034305"
"654","FPI207753-00"
"656","683666803"
"657",
"658","207760-00"
"659","HO0519285906"
"660",
"661","39864"
"662",
"663","39863"
"664",
"665","Southern Oak"
"666","1201-00-034406"
"667","EDI934682-00"
"668","3300316484"
"669","01-21763"
"671","1201-00-034098"
"672","FPH4163577"
"673","3300316484"
"674","HP198914"
"675","683666803"
"676","39847"
"677","33036"
"678","092019010812"
"679","12898"
"680","33036"
"681","FPH4163577"
"682",
"683","33072"
"684","EDI934702-00"
"685","CHO-00079602"
"686","1201-00-034406"
"687",
"688",
"689","FPI205134"
"690",
"691",
"692","HO0519287667"
"693","FPH4156277-02"
"694",
"695","HO0519280549"
"696","401 5750467"
"697","HO0519285906"
"698",
"699",
"700",
"701",
"702",
"703",
"704",
"705",
"706","599267g27 - Policy Number 80-b5-L967-6"
"707","39863"
"708","FPI-206652"
"709","1702FL24005294"
"710","FPI207856"
"711",
"712","FPI-207939"
"713","EDI-933629"
"714","ST19204677"
"715",
"716",
"717",
"718","33175"
"719","33181"
"720","12898"
"721",
"722","FPI-207387"
"723","01-21763"
"724",
"725","39974"
"726","683666803"
"727","33181"
"728","Direct Bill"
"729","ST19204677"
"730",
"731","669725"
"732","40011"
"733","3300315949"
"734",
"735","ST19204983"
"736","DIRECT BILL"
"737",
"738","934661"
"739","FPI-206652"
"740","FPI208154-00"
"741","GV19200554"
"742","FPI-206652"
"743",
"744","FL19-0121663"
"745","FPI-208050-00"
"746","17FLHOT0015745"
"747",
"748",
"749","EDH4062794"
"750",
"751","00201119671"
"752","208223-00"
"753",
"754",
"755",
"756",
"776","FPI207570"
"780",
"788",
"792","40055"
"794",
"795",
"796",
"798",
"799","HOH090607"
"801",
"802",
"804",
"805",
"821",
"825","Ree"
"826",
"827","FL19-0121663"
"828","33175"
"829",
"830",
"831","17857"
"832","67331-191940-102800"
"833","189630T66"
"836","HO0119289869"
"837","HO0119289883"
"838",
"839","HO0119289903"
"840","FPI-208211"
"841","17878"
"842","17968"
"843","33181"
"844","HO0119289932"
"845",
"846","HO0119289958"
"847","40011"
"848","17883"
"850","HO0119289937"
"851","673742-191940-034800"
"852","1902FL24001121"
"853",
"854",
"855",
"856","HO0119290104"
"857","18097"
"858","2019FL130715"
"859","01-19475"
"860","EDI934991-00"
"861","120100034402"
"862","CLM-00000348"
"863","17859"
"864","2019FL230761"
"865","17FLHOT0015745"
"866",
"867",
"868","40055"
"869","39974"
"870","40136"
"871","39800"
"872","CMD-00080915"
"873","HO0519290383"
"874","178789"
"875",
"876",
"877",
"878",
"879",
"880","FPI207753-00"
"881","FPI-208425"
"882","CHO-00080854"
"883",
"884","EDI-935067"
"885","HO0519290630"
"886","12345"
"887","003224962-002"
"888","178789"
"889","3300249046"
"890","178789"
"891","CM00531007"
"892","CHO79644"
"893","19FLHOV0016118"
"894","EDI-935090"
"895","HO0519290631"
"896","19FLHOT0016052"
"897","19FLHOV0016123"
"898",
"899","CDP-00081225"
"900","EDI-935038-00"
"901","677941-191001-121700"
"902","40180"
"903","18218"
"904","003224962-002"
"905","19FLHOV0016118"
"906","EDI934981-00"
"907",
"908",
"909","19FLHOV0016068"
"910",
"911","40191"
"912","19FLHOV0016068"
"913",
"914",
"915","19FLHOV0016145"
"916",
"917","19FLHOV0016123"
"918","EDI935114"
"919",
"920",
"921",
"922","FPI-208425"
"923","678764-1911013-102100"
"924",
"925","HO0119280269"
"926","FL19-0123812"
"927",
"928","FPI-207581"
"929",
"930",
"931",
"932","40044"
"933","CMH-00081620"
"934","OIC20190500099"
"935","HO0519291173"
"936","DF0519290903"
"937",
"938","179993"
"939","179993"
"940","3300319900"
"941","DF0519290903"
"942","HO0519291254"
"943",
"944","599897L85"
"945","3300319079"
"946","3300319079"
"947","40252"
"948",
"949","ST19206142"
"950",
"952","#CHO00081793"
"953",
"954",
"955","Direct Bill  to  Rapid Response"
"956","FPI208838-00"
"957","#CHO00081793"
"958","11447"
"959","HO0519291311"
"960","180167-11461"
"961","FPI205134"
"962","599897L85"
"963","849228"
"964",
"965",
"966",
"967","19FLHOV0015668"
"968",
"969",
"970",
"971","FPI208875-00"
"972","H/o will obtain one"
"973",
"974",
"975",
"976","FL19-0125598"
"977",
"978","8715460"
"979","180400"
"980","DF0519291504"
"981",
"982",
"983",
"984","0556486629"
"985",
"986",
"987","FPI208907-00"
"988","FPI076133-00"
"989","DF0519291693"
"990","40044"
"991","2019FL132140"
"992",
"993",
"994","19FLHOT0016276"
"995",
"996",
"997","Direct Bill"
"998","HO0519291696"
"999","EDI935280-00"
"1000","Direct Bill"
"1002","40344"
"1003","33181"
"1004","HO0519292024"
"1005",
"1006","209040-00"
"1007","3300320630"
"1008",
"1009","ST19206580"
"1010","DF0519292096"
"1011","ST19206122"
"1012","3300316484"
"1013",
"1014",
"1015",
"1016",
"1017","40344"
"1018","HO0519292061"
"1019",
"1020",
"1021",
"1022","20480"
"1023",
"1024","19FLHOV0016329"
"1025","1902FL22000364"
"1026","DIRECT BILL"
"1027",
"1028",
"1029",
"1030",
"1031","CHO-00082007"
"1032","CHO-00082007"
"1033",
"1034","ST19206032"
"1035",
"1036","FPI207866-00"
"1037","19FLHOV0016337"
"1038","40370"
"1039","HO0119291906"
"1040",
"1041","40180"
"1042","40370"
"1043",
"1044",
"1045","FPI-209105"
"1046","HO0519291757"
"1047",
"1048",
"1049",
"1050",
"1051","19FLHOV0016375"
"1052","181366"
"1053","19FLHOV0016329"
"1054","2019FL132825"
"1055","EDI-935038-00"
"1056","EDI-935174-00"
"1057",
"1058",
"1059","FL19-0125649"
"1060","686241-191007-061700"
"1061",
"1062",
"1063","6418720276US"
"1064","OIC20190800213_66250"
"1065",
"1066",
"1067","19FLHOV0016375"
"1068","HO0519293683"
"1070","EDI-935038-00"
"1071","19FLHOV0016411"
"1072",
"1073","40055"
"1074","H12568"
"1075","40356"
"1076","DF0519292096"
"1077",
"1078","HO0519293683"
"1079","H12759"
"1080","01-23806"
"1081","19FLHOV0016417"
"1082","FL19-0127967"
"1083",
"1084",
"1085",
"1086","EDI-935067"
"1087","CHO00027356"
"1088","209331"
"1089","CHO-00082944"
"1090","H11952"
"1091",
"1092","FL19-0125539-E317"
"1093",
"1094",
"1095",
"1096","595011-181007-104000"
"1097","CHO-00082696"
"1098",
"1099","3300321726"
"1100","1902FL24001452"
"1101","19FLHOV0015718"
"1102","Direct Bill  to  Rapid Response"
"1103","H12811"
"1104",
"1105","40261"
"1106","EDI935326-00"
"1107",
"1108",
"1109",
"1110","3300321489"
"1111","000295702"
"1112",
"1113","H12484"
"1114","CHO-00061982"
"1115","GV19200759"
"1116","40180"
"1117",
"1118","3300319132"
"1119","H124714"
"1120","19FLDFT0015618"
"1121","167771"
"1122",
"1123",
"1124",
"1125",
"1126",
"1128","Cal ho"
"1129",
"1130",
"1131","FL19-0128059"
"1132","HP1498780"
"1133","HO0519293989"
"1134",
"1135",
"1136","33003200242"
"1137","496314-GJ"
"1138","19FLHOV0016329"
"1139",
"1140","33003200242"
"1141","EDI934682-00"
"1142",
"1143",
"1144","01000023546"
"1145",
"1146",
"1147","0559335096"
"1148","FCNC894540"
"1149",
"1150","DIRECT BILL"
"1151","40331"
"1152","HO0519294428"
"1154","40492"
"1155","HO0519294431"
"1156","HO0519294438"
"1157","HO0519294452"
"1158","LN-22294450"
"1159","3300322235"
"1160","CLM00532896"
"1161",
"1162","3300322235"
"1163","HO0519294477"
"1164","HO0119294499"
"1165","OIC20190800213_66250"
"1166","30193417683-0001"
"1167","CLM00532896"
"1168","30193417683-0001"
"1169","40493"
"1170","19FLHOV0016349"
"1171","SFLH1214276"
"1172","HO0119294568"
"1173","HO0119294560"
"1174","39847"
"1175","HO0119294611"
"1176","HO-0119294619"
"1177","HO0119294640"
"1178","HO0119294683"
"1179","H13011"
"1180","HO0119294682"
"1181","690453-191013-115800"
"1182","690388-194114-123400"
"1183","HO0119294676"
"1184","690547-194114-025600"
"1185","19NC00001839"
"1186","19-2598"
"1187","19-2586"
"1189","01000024107"
"1190","HO0119294640"
"1191","19NC00002036"
"1192","690717-194114-110700"
"1194","19NC00002111"
"1195","19NC00002124"
"1196","19NC00002135"
"1197","19NC00002132"
"1198","19NC00002161"
"1199","690388-194114-123400"
"1200","19NC00002092"
"1201","19NC00002177"
"1202","19nc00001713"
"1203","H13011"
"1204",
"1205","HO0119294781"
"1206","B-10117725"
"1207","H13011"
"1208","182756"
"1209","CHO-00083326"
"1210","HO0119294889"
"1211","HO0119294930"
"1212","19NC00002550"
"1213","19NC00002414"
"1214","19NC00002490"
"1215",
"1216","19NC00002148"
"1217","1902FL22000364"
"1218","40492"
"1219","EDI-935067"
"1220","EDI935326-00"
"1221","19NC00002593"
"1222","HO0119294671"
"1223","HO0119295055"
"1224","182925"
"1225","19NC00002834"
"1226","19NC00002364"
"1227","690100041884"
"1228","HO0119294640"
"1229",
"1230","3300322773"
"1231","HO0519294428"
"1232","3300322122"
"1233","040852017-01"
"1234","209331"
"1235","3300322122"
"1236","40492"
"1237",
"1238","3300322857"
"1239","3300322606"
"1240","201921371"
"1241","HO0519293683"
"1242","CHO-00083584"
"1243","CHO-00083733"
"1244","21715347-sys"
"1245","3300322857"
"1246",
"1247","Direct"
"1248",
"1249","3300323019"
"1250",
"1251","H12811"
"1252",
"1253",
"1254",
"1255",
"1256","HO-145848451"
"1257","01000024107"
"1258","40252"
"1259","FL19-0125539-E317"
"1260","19FLHOV0016613"
"1261","1900672"
"1262","3300322122"
"1264","19TX00004463"
"1265","HO0519293683"
"1266",
"1267","CLM-00000616"
"1268",
"1269","19TX00004508"
"1270","20190943240-0001"
"1271",
"1272","19230"
"1273","19TX00004535"
"1274",
"1275",
"1276","19TX00004572"
"1277","19TX00004546"
"1278","19FLHOV0016500"
"1279","40261"
"1280","19TX00004684"
"1281","19TX00004725"
"1282","19TX00004752"
"1283","TX201900004212"
"1284","19TX00004857"
"1285",
"1286","HO0519294431"
"1287","19TX00004752"
"1288","0561955955"
"1289","19181"
"1290","19TX00005105"
"1291","30193567970-0001"
"1292","HP201916"
"1293","20190943240-0001"
"1294","59B3260c5"
"1295",
"1296",
"1297","HO0519296046"
"1298","HO0119295854"
"1299","19FLHOV0016123"
"1300",
"1301","HO0119295939"
"1302","3300319461"
"1303",
"1304","3300323689"
"1305",
"1306","181838"
"1307","CHO-00084348"
"1308","CHO-00083584"
"1309",
"1310","17FLHOT0015155"
"1311",
"1312",
"1313","40727"
"1314","HO-0519296330"
"1315",
"1316","40727"
"1317","550100029304"
"1318",
"1319","FL19-0132694"
"1320","001179036-128"
"1321",
"1322","181838"
"1323",
"1324","3300324332"
"1325","3300324332"
"1326",
"1327","HO0519295401"
"1328","DF0519296881"
"1329","DF0519296881"
"1330","19FLHOV0016755"
"1331","B7019K6"
"1332","DF0519296882"
"1333","19FL00006832"
"1334","001246455-040"
"1335","17FLHOV0015847"
"1336","H13913"
"1337","DF0519297009"
"1338",
"1339","FL19-0132694"
"1340","210089"
"1341","HO0519296761"
"1342","HO0519297075"
"1343","3300324671"
"1344","40831"
"1345","19FLHOV0016755"
"1346","893287"
"1347","40844"
"1348",
"1349","3300324771"
"1350","01-000025664"
"1351","40831"
"1352","40853"
"1353","40849"
"1354","40590"
"1356","CLM00535726"
"1357","40807"
"1358","01-25849"
"1359","19fl00007531"
"1360","40844"
"1361","16029"
"1362","3300324671"
"1363","FPI210085-00"
"1364",
"1365","Direct Bill - HO"
"1366",
"1367","HO0519297442"
"1368","FL19-0133514"
"1369",
"1370",
"1371","701599-191013-101001"
"1372","OIC20191000281_67589"
"1373","120100036504"
"1374","131498202"
"1375","19FL00008166"
"1376","CLM00536375"
"1377",
"1378","HO0519297485"
"1380",
"1381",
"1382",
"1383","185148"
"1384","742513-GJ"
"1385","H14161"
"1386","19FLHOV0016852"
"1387","CLM00536384"
"1388","Claim #:	HO0519297491		Date of Loss:	10/19/19"
"1389","40756"
"1390",
"1391","17FLHOV0015847"
"1392","185301"
"1393","19FL00008318"
"1394","185227"
"1395","19FL00008462"
"1396","39863"
"1397","19FLDFT0015957"
"1398",
"1399",
"1400","HO0519297652"
"1401","18781"
"1402","690100042490"
"1403","OIC20191000282_67593"
"1404",
"1405",
"1406",
"1407",
"1408",
"1409","H14161"
"1410","60003670986"
"1411","OIC20190900033"
"1412",
"1413","40757"
"1414",
"1415",
"1416",
"1417",
"1418",
"1419","OIC2019000091"
"1420","HP202837"
"1421","2019FL130715"
"1422",
"1423","H14237"
"1424","185459-12491"
"1425","HO0519297824"
"1426","HP202693"
"1427",
"1428","40756"
"1429","ST19209148"
"1430","CLM00536046"
"1431",
"1432","CHO-00085483"
"1433",
"1434","EDI935211"
"1435","19FLHOV0016926"
"1436","19LA00009199"
"1437","CLM-00000758"
"1438","CLM00536807"
"1439","170100025565"
"1440","CHO-00085565"
"1441","770100006410"
"1442","H14307"
"1443","19780"
"1444","CLM00533508"
"1445","OIC20191000282_67593"
"1446","HO0519298109"
"1447","HP201151"
"1448","19LA00009328"
"1449","703688-191940-054702"
"1450","19FLHOV0016852"
"1451","19757"
"1452","CLM00536046"
"1453","19FL00008462"
"1454","158828"
"1455","FCNC1005034"
"1456","LA201900002193"
"1457","19LA00009623"
"1458",
"1459","19789"
"1460","40849"
"1461","19LA00009675"
"1462","HO0119298078"
"1463",
"1464","40590"
"1465","19870"
"1466","19FL00008318"
"1467","OIC20191000439_67899"
"1468","19FLHOT0016887"
"1469","19887"
"1470","01-19475"
"1471","Ho0519295481"
"1472","LA201900002286"
"1473","H14478"
"1474","CHO85461"
"1475","001-00220388"
"1476","DIRECT BILL PUROCLEAN"
"1477","0565971033"
"1478","CLM00537002"
"1479",
"1480","19853"
"1481",
"1482",
"1483","OIC20191000439_67899"
"1484","001-00220388"
"1485","001-00220388"
"1486","CHO-00085868"
"1487","CHO-00085868"
"1488","CLM00537414"
"1489","19FLHOV0016901"
"1490","01-26362"
"1491","HO0519297485"
"1492","OIC20191000336"
"1493","CLM00537002"
"1494",
"1495",
"1496","185328"
"1497","CHO-00085668"
"1498","19FLHOV0016569"
"1499","19FL00010946"
"1500",
"1501","HP202960"
"1502",
"1503","CDP-00086066"
"1504","40504"
"1505",
"1506","19FL00010946"
"1507","936208"
"1508","19FL00010946"
"1510","CDP-00083972"
"1511",
"1512","CDP85414"
"1513","HO0519286876"
"1514","661588-191001-100003"
"1515","5902W366L"
"1516","59B3308M4"
"1517","HO0519298109"
"1518","CHO-00085668"
"1519","CLAIM NUMBER"
"1520","CLAIM NUMBER"
"1521","HP203230"
"1522","CHO-86320"
"1523",
"1524","FPI205688-00"
"1525","CHO-00085839"
"1526",
"1527","HP200021"
"1528","01000026591"
"1529","120100036725"
"1530","20085"
"1531",
"1532","HO0519299178"
"1533",
"1534","HO0519299178"
"1535",
"1536","19FLHOV0016857"
"1537","19FLHOT0016421"
"1538","HO0519299200"
"1539",
"1540",
"1541","CLAIM NUMBER"
"1542",
"1543","HO0519299178"
"1544","CLM00538142"
"1545","4FLHOT0016776"
"1546","3300326101"
"1547","60003670986"
"1548","HP203542"
"1549",
"1550","41116"
"1551","CHO-0082267"
"1552","HP203055"
"1554","st19209841"
"1555","41128"
"1556","CHO-0082267"
"1557","HO0519278634"
"1558","HP203542"
"1559",
"1560","CHO-00085827"
"1561","CLM00536807"
"1563","EDI936342"
"1564","CMH-00079149"
"1565","CHO-00086382"
"1566","FPI205688-00"
"1567",
"1569","P000099090"
"1570","HO0519297826"
"1571","HP203704"
"1572","19FL00013292"
"1573","683-669144"
"1574","H15280"
"1575","3300328043"
"1576","CHO -00087124"
"1577","H14161"
"1578","EDI936429"
"1579","EDI936351"
"1580","EDI936465"
"1581","5902W366L"
"1582","CLAIM NUMBER"
"1583","17FLHOT0008481"
"1584","CHO_00087047"
"1585","12345"
"1586","CLAIM NUMBER"
"1587","CLAIM NUMBER"
"1588","CLAIM NUMBER"
"1589","0571158625"
"1590","HO0519301297"
"1591","DIRECT BILL"
"1592","CHO-86320"
"1593",
"1594","037422713-004"
"1595","EDI936521-00"
"1596","19FLHOV0017312"
"1597","H15667"
"1598","HO0519301297"
"1599","19FLHOV0017317"
"1600","H15675"
"1601","H15683"
"1602","CLM00539937"
"1603","n/a"
"1604",
"1605","41299"
"1606","HP203877"
"1607",
"1608","HO0519301606"
"1609",
"1610","HP203778"
"1611","H14437"
"1612","ST19209984"
"1613","CLM00539181"
"1614","CHO-00086576"
"1615",
"1616","690100043247"
"1617","19FLHOV0017329"
"1618","CMH-00087609"
"1619","936208"
"1620","01000027204"
"1621","CHO-00086487"
"1622",
"1623","1902FL22000567"
"1624","HO0519300826"
"1625","3300328043"
"1626","3300328756"
"1627","FPI211335-00"
"1628","OIC20191200196"
"1629","19FLHOV0017312"
"1630","EDI935326-00"
"1631","HO0519301805"
"1632","DF0519301828"
"1633","H14161"
"1634","CLM00540040"
"1635",
"1636",
"1637","OIC20191200196"
"1638",
"1639","3300328947"
"1640","3300328756"
"1641","01000027392"
"1642","01000027229"
"1643","715722"
"1644","13231-188433"
"1645","0572620508"
"1646",
"1647",
"1648","HO0519302002"
"1649",
"1650",
"1651","2114247"
"1652","550100030097"
"1653","0572592582"
"1654","550100030098"
"1655","HP204200"
"1656","HP204167"
"1657",
"1658","188550"
"1659","DF0519302123"
"1660","FL19-0141468"
"1661","18859313279"
"1662","41358"
"1663","211448"
"1664","550100030097"
"1665",
"1666","CHO-00087670"
"1667",
"1668","EDI-936637"
"1669","211460"
"1670","CFL20558997"
"1671",
"1672",
"1673","3300329188"
"1674","0572592582"
"1675","3300328043"
"1676",
"1677","HO0519302189"
"1678",
"1679",
"1680",
"1681","HO0519302145"
"1682","41358"
"1683","01000027538"
"1684","EDI936342"
"1685","CHO-00088046"
"1686","CMH-00087609"
"1687",
"1688","01000021762"
"1689",
"1690","188926-13365"
"1691","HO0519302284"
"1692","HP204178"
"1693","DF0519302123"
"1694",
"1695","FL19-0126419"
"1696",
"1697","HP204314"
"1698","C HO-00087851"
"1699",
"1700","FPI-2114247"
"1701","Na"
"1702","CHO_00087047"
"1703","HO0120302377"
"1704","CHO-00088234"
"1705","HP204280"
"1706","19FLHOV0017252"
"1707",
"1708","CLM000541258"
"1709","20FL00016726"
"1710","ST19211268"
"1711","OIC20180600027"
"1712","H16213"
"1713","CHO-00088234"
"1714","17FLHOT0016323"
"1715","CHO-00087158"
"1716",
"1717","H16423"
"1718","DF0520302773"
"1719",
"1720",
"1721","HP188291"
"1722","CHO-00088608"
"1723","3300329188"
"1724","CHO-00087827"
"1725",
"1726","DF0520303009"
"1727","HP204439"
"1728","CFL20558997"
"1729","20FL00016726"
"1730","FPI211695"
"1731","DF0519301828"
"1732","HP204439"
"1733",
"1734","DF0520303009"
"1735",
"1736","17FLHOT0017070"
"1737","HO0519301606"
"1738","930979"
"1739",
"1740","HO0520303487"
"1742",
"1743","CHO-00088973"
"1744","19FL00008166"
"1745",
"1746","3300324671"
"1747","CDP-00088912"
"1748","120100037493"
"1749","3300327812"
"1750",
"1751","HP204745"
"1752",
"1753","19FLHOV0017252"
"1754","20FL00018693"
"1755","HO0518270620"
"1756","19FLHOV0017317"
"1757","CLM00542344"
"1758","165304-13451"
"1759",
"1760","CHO-00087201"
"1761",
"1762","003386289-025"
"1763","17FLHOV0009654"
"1764","3300331027"
"1765","17FLHOT0016940"
"1766","CDP-00086088"
"1767","41639"
"1768","01000028237"
"1769","HO0519297017"
"1770","HO0520304090"
"1771",
"1772","41639"
"1773",
"1774","HP205202"
"1775",
"1776","41673"
"1777","19FLHOV0016795"
"1778","CMH-00089606"
"1779","CHO-00089609"
"1780",
"1781","047538438-001"
"1782","725458-201013-054101"
"1783","20FLHOV0017673"
"1784","HI7287"
"1785","HP205081"
"1786","21755698-SYS"
"1787","CLM00540040"
"1788","CHO-00089795"
"1789","725860-201013-091503"
"1790","HP205395"
"1791","725848-201013-091002"
"1792","CLM00540221"
"1793","20FL00020576"
"1794","CDP-00089819"
"1795","HP205401"
"1796","41205"
"1797","HO0519294722"
"1798","H17320"
"1799","CLM00543321"
"1800","CLM00543327"
"1801","Claim#21755697-SYS"
"1802","590-4k251k"
"1803","185301"
"1804","20FL00020729"
"1805","H17332"
"1806","HO0120304623"
"1807","3300332010"
"1808","CHO-00089925"
"1809","3300332124"
"1810","190947"
"1811","3300332143"
"1812","726658-201001-121500"
"1813","ST20200746"
"1814","1201000038024"
"1815","20FL00021009"
"1816",
"1817","20FLHOV0017776"
"1818","120100037493"
"1819","690100043966"
"1820","41738"
"1821","17FLHOT0017070"
"1822","CHO-00089882"
"1823","HP205400"
"1824","725458-201013-054101"
"1825","HO 0520304892"
"1826","HP205528"
"1827","HP205465"
"1828","CHO-00089795"
"1829","CDP-00090224"
"1830","12-3000470-20"
"1831","CHO-00089786"
"1833",
"1834","HP205379"
"1835","HP205506"
"1836",
"1837","41768"
"1838","41738"
"1839","H17614"
"1840","690100043247"
"1841","H17649"
"1842","H16785"
"1843","HP205485"
"1844","930960"
