"id","payment_info"
"910","CK#004993"
"911","ACH"
"912","LESS DCMG FEE $92.74  CK#1990"
"913","ach"
"915","LESS DCMG FEE: $46.06  CK#2121"
"916","ACH"
"917","LESS DCMG FEE $98.76  CK#1990"
"918","ACH"
"919","ACH"
"920","ACH"
"921","CK#03754"
"922","CK#0043145"
"924","CK #25036"
"925","ACH"
"926","UNIVERSAL PAYMENT CK#5663000"
"927","ck#382"
"928","ACH"
"929","CK #66338"
"931","CK#12071"
"932","ACH"
"935","ach"
"937","ACH"
"938","CK#441688"
"939","CK#441688"
"940","ACH"
"941","ACH"
"942","ach"
"944","insured paid by cc"
"945","CK #5185"
"946","CK # 5185"
"947","ACH"
"949","CK#004934"
"950","ACH"
"952","ck# 0000617231"
"954","ACH"
"955","ck#66558"
"956","ACH"
"957","CK#0000619482"
"958","CK#004959"
"959","ACH"
"960","ACH LESS BACKGROUND CK FEE OF $73.76"
"962","cc"
"963","RECEIVED CK#108077 FROM BURNS & WILCOX NATIONAL UNDERWRITING MANAGERS & BROKERS."
"965","ck#20196"
"966","ACH"
"967","LESS DCMG FEE $83.82 CK#1990"
"968","CK#005342"
"970","2 payments with 2 different cc,"
"975","CK#108042 FROM BURNS & WILCOX-NATIONAL UNDERWRITING MANAGERS & BROKERS"
"976","UNIVERSAL CK#5642744"
"978","ck#67006"
"979","CK#443882 $2398.36"
"980","ACH"
"982","CK#03766"
"983","CK#1674"
"984","ck#66558"
"985","ACH"
"986","ACH"
"987","ACH"
"988","ACH"
"989","ACH"
"993","CK #1492"
"994","LESS DCMG FEE: CK #2156"
"995","ck#20253"
"996","paid via cc ending: 8390"
"997","ck#324"
"999","ACH"
"1000","ACH"
"1002","ACH"
"1003","ck#1535944"
"1004","ACH"
"1006","FL PENN CK#00431039"
"1007","CK #37281"
"1009","CK#20253"
"1010","ACH"
"1011","CK#004959"
"1012","ck#5238"
"1013","CK#12110"
"1014","CK#110"
"1015","CK#110"
"1017","ACH"
"1018","ACH"
"1019","invoice reduced to $2000.00 
ho paid via ck#7086"
"1020","CK#0340"
"1021","CK #20253"
"1022","ACH"
"1023","CK#5442"
"1024","LESS DCMG FEE: $100.15  CK#2121"
"1025","CK#005024"
"1026","ACH"
"1027","ach"
"1028","ACH"
"1029","Personal Ck# 1191"
"1030","CK#12110"
"1031","LESS NEXXUS FEE: $73.34  CK#42923"
"1032","LESS NEXXUS FEE: $73.33  CK#42923"
"1033","CK#37281"
"1035","ck# 3649"
"1036","ACH"
"1037","LESS DCMG FEE: $36.88  CK#2063"
"1038","ACH"
"1039","ACH"
"1041","ACH"
"1042","ACH"
"1043","CK #5392"
"1045","ACH"
"1046","CK#20253"
"1047","ACH"
"1048","ACH"
"1049","cc ending: 848938"
"1050","CK#5442"
"1051","LESS DCMG FEE: $78.10  CK#2093"
"1052","CK #20253"
"1054","ACH LESS VENDOR  FEE: $278.53"
"1055","ACH"
"1056","ACH"
"1057","PUROCLEAN PAID VIA CC ENDING: 1455"
"1059","ACH"
"1060","ck#0158925"
"1061","ck #1275"
"1062","CK#37281"
"1063","CC ENDING: 3788"
"1064","ACH"
"1066","CK#20253"
"1067","LESS DCMG FEE: $33.00  CK#2093"
"1068","ACH"
"1070","ach"
"1071","LESS DCMG FEE: $107.85  CK#2076"
"1072","CK#24998"
"1073","ACH"
"1074","ACH"
"1075","ACH"
"1076","ACH"
"1077","CC ENDING 4590"
"1078","ACH"
"1079","ACH"
"1080","ACH"
"1081","LESS DCMG FEE: $7.43  CK#2076"
"1082","ACH"
"1083","ach"
"1084","paid via cc 7943"
"1085","CK#004993"
"1087","LESS NEXXUS FEE $28.38 CK#42686"
"1088","partial from ck#004934
rb from ck#005011"
"1089","LESS NEXXUS FEE: $19.79  CK#43107"
"1090","ACH"
"1094","ACH"
"1095","paid via cc"
"1096","ck#0159901"
"1097","Insured paid online...
Nexxus fee paid 01/04/21 $11.57"
"1098","credit memo of $666.00"
"1099","CK#37378"
"1100","ck#340144799"
"1101","CK#2015 LESS DCMG FEE $133.24"
"1102","CK#67224"
"1103","ACH"
"1106","ACH"
"1107","cc ending 9865"
"1108","CK #110"
"1110","CK#37378"
"1111","ck#0026275221"
"1112","ACH"
"1113","ACH"
"1114","LESS NEXXUS FEE: $212.55  CK#42686"
"1115","CK#004959"
"1118","CK#37378"
"1119","ACH"
"1120","LESS DCMG FEE: $186.89  CK#2093"
"1121","CK#005398"
"1129","ACH"
"1131","2 PARTY CK SIGNED BY INSURED CK#5658967"
"1132","ACH"
"1133","CK#37378"
"1138","LESS DCMG FEE: $75.42   CK#2045"
"1139","ck#20327"
"1140","LESS ALACRITY FEE: $130.35   ACH"
"1141","ACH"
"1144","ck#175938"
"1148","ck#0000261901"
"1149","ACH"
"1150","ACH"
"1151","PAID VIA QUICKBOOKS CREDIT CARDS: $196.85 CC ENDING 3941/$850.00 CC ENDING 9806/$850.00 CC ENDING 6346"
"1152","CK#1207"
"1154","ACH"
"1155","CK#1207"
"1158","ACH"
"1160","CK #35756"
"1161","CK#20327"
"1162","(1426.30) LESS ALACRITY FEE: $73.70 ACH

(1915.00) LESS ALACRITY FEE: $85.00 ACH"
"1163","CK#1207"
"1164","CK#1207"
"1168","CK #35756"
"1169","ACH"
"1170","LESS DCMG FEE: $7..42  CK#2093"
"1171","CK#004959"
"1172","CK#1207"
"1173","CK#1212"
"1175","CK#1207"
"1176","CK#1212"
"1177","CK#1212"
"1179","LESS NEXXUS FEE: $234.46 CK#40340"
"1180","CK#1207"
"1182","ck#1610746"
"1183","CK#1212"
"1184","CK #1077"
"1186","First community bank ck#0028954"
"1187","CK #0029504  FIRST COMMUNITY INSURANCE"
"1189","FRONTLINE CK#180855"
"1191","LESS SEDGEWICK FEE $26.35 ACH RECD"
"1192","progressive ck#1609566"
"1194","LESS SEDGWICK FEE: $263.36   ACH"
"1196","LESS SEDGWICK FEE: $218.34   ACH"
"1197","LESS SEDGWICK FEE: $505.05   ACH"
"1200","LESS SEDGWICK FEE: $331.88   ACH"
"1201","LESS SEDGWICK FEE: $96.59 ACH"
"1205","CK#1212"
"1206","PENNYMAC POA CK#0005185368"
"1207","LESS NEXXUS FEE: $49.50  CK#40340"
"1208","ACH"
"1209","insured paid via her credit card ending:0173"
"1210","CK #1214"
"1212","LESS SEDGWICK FEE: $71.79   ACH"
"1213","LESS SEDGWICK FEE: $68.93   ACH"
"1214","LESS SEDGWICK FEE: $71.79  ACH"
"1215","CK#20327"
"1217","CK#005024"
"1218","ACH"
"1219","ACH"
"1221","less fee: $71.80 paid in 10/09/2019..."
"1222","ck#1220"
"1223","CK#1214"
"1224","ACH"
"1226","LESS SEDGWICK FEE: $496.37  ACH"
"1227","ACH"
"1228","ck#1220"
"1229","CK#005098"
"1230","LESS ALACRITY FEE: $136.94 - ACH"
"1231","CK #1229"
"1233","LESS  CREDIT OF $475.00 DUE TO INCORRECT LINE ITEMS...ACG"
"1235","CK#2500115556"
"1237","CK #1278"
"1238","LESS ALACRITY FEE: $51.94   ACH"
"1239","ACH
$788.77 VIA CK#0141041642 FROM TOWER HILL"
"1240","SETTLED OUT OF COURT...CLOSING OUT AS BADDEBT"
"1241","ACH"
"1242","CK#0000621870"
"1243","LESS NEXXUS FEE: $43.49  CK#43191"
"1244","CK #37445"
"1245","TOWER HILL CK#0141041642"
"1247","ACH"
"1248","CK #20381"
"1249","CK #37445"
"1250","ACH"
"1251","ACH"
"1252","ACH"
"1253","ACH"
"1254","ACH"
"1255","CK#5442"
"1257","CK #179832"
"1258","ACH"
"1260","LESS DCMG FEE: $71.36 CK#2093"
"1261","LESS DCMG FEE: $68.60  CK#093"
"1262","TOWER HILL CK#2500116567"
"1264","LESS SEDGWICK FEE: $234.97   ACH"
"1266","via cc"
"1267","LESS DCMG FEE: $80.48  CK#2227"
"1268","ACH"
"1270","LESS SEDGWICK FEE:  $158.43   ACH"
"1271","ACH"
"1272","CK FROM MAISON INSURANCE CK#55852"
"1273","LESS SEDGWICK FEE: $45.82   ACH"
"1275","ck#0037764820"
"1276","LESS SEDGWICK FEE: $361.94   ACH"
"1278","LESS DCMG FEE: 104.99 CK#2093"
"1279","ACH"
"1280","LESS SEDGWICK FEE: $36.25  ACH"
"1283","CK #5036597"
"1284","UPC CK#5013060"
"1285","ACH"
"1289","ck#55259 from maison"
"1290","LESS SEDGWICK FEE: $220.80    ACH"
"1292","ACH"
"1294","STATE FARM CK#1917397313"
"1296","ACH"
"1297","CK#1225"
"1298","CK#1225"
"1299","LESS DCMG FEE: $35.75"
"1300","ACH"
"1301","CK#1225"
"1302","ACH PARTIAL LESS ALACRITY FEES:  $243.28"
"1304","ACH"
"1306","ACH"
"1307","LESS NEXXUS FEE: $50.82   CK#43249"
"1308","CK#0000621870"
"1309","ck #005061"
"1313","ACH"
"1315","ACH"
"1316","ACH"
"1317","ACH"
"1319","Universal/Evolution Risk Advisors CK#5680840"
"1320","CK #0026617943 FROM USAA"
"1321","monthly pymnt options via cc..PROCESSED CC FOR REMAINING BALANCE OF $3164.04 (INCLUDES THE LIEN FEE OF $250.00-DID NOT INCLUDE THAT IN THE KRUGER BILLED INFO) WILL PROCESS A SATISFACTION OF LIEN & MAIL TO INSURED..
Deducted CC fee of 135.70"
"1322","ACH"
"1323","CK#5745"
"1324","ck#5437"
"1325","CK#5414"
"1326","CK#5414"
"1327","CK#1238"
"1328","CK #1238"
"1330","LESS DCMG FEE: $158.73  CK#1006"
"1331","STATE FARM CK#069432"
"1332","CK#20539"
"1333","ACH"
"1334","ACH"
"1336","ACH"
"1337","ACH"
"1340","CK#005098"
"1341","ACH"
"1342","ACH"
"1343","LESS ALACRITY FEE: $73.70  ACH"
"1344","HO paid us directly..CK#1388"
"1345","LESS DCMG FEE: $49.50  CK#2227"
"1347","ACH"
"1348","CK# 640"
"1349","LESS ALACRITY FEE: $103.03   ACH"
"1351","SOUTHERN OAK CK#0482511"
"1353","ACH"
"1354","ACH"
"1356","CK#755395"
"1357","ACH"
"1358","ACH"
"1360","ACH"
"1361","ACH"
"1362","TOWER HILL CK#0141041642"
"1363","ACH"
"1365","ACH"
"1366","CK#1287"
"1368","ACH"
"1369","ACH"
"1370","ACH"
"1371","CK#13136598"
"1372","ACH"
"1373","LESS DCMG FEE: $630.86  CK#2299"
"1374","ACH"
"1375","ACH"
"1376","ACH"
"1377","ACH"
"1378","CK#1242"
"1380","CK#37678"
"1381","CK #37678"
"1383","ACH"
"1384","ACH"
"1386","LESS DCMG FEE: $88.90  CK #2276"
"1387","CK#754816"
"1388","CK#1242"
"1392","ACH"
"1393","FAMILY SECURITY/UPC CKK#102598"
"1394","ACH"
"1395","ACH"
"1396","ACH"
"1397","LESS DCMG FEE: $35.75 CK# 2156"
"1399","VILLAS CAPRI CK#10019"
"1400","CK#37678"
"1401","ACH"
"1402","LESS DCMG FEE: $109.93  CK#2175"
"1403","ACH"
"1405","ACH"
"1406","ACH"
"1407","ACH"
"1408","ACH"
"1409","ACH"
"1410","CK#005132"
"1411","ACH"
"1413","ACH"
"1414","ACH PARTIAL BALANCE TO BE PAID 11/29
ACH"
"1415","ACH"
"1416","ACH"
"1417","ACH"
"1418","CK#0086785993"
"1419","ACH"
"1420","ACH"
"1421","SALLY GRAY PAID VIA CC ENDING: 1424"
"1422","ACH"
"1423","ACH"
"1424","ACH"
"1425","CK #3497"
"1426","ACH"
"1427","CK#0086785994"
"1428","ACH"
"1429","CK#005186"
"1430","CK #755163"
"1431","CK#161"
"1432","RECD CK#000653012 $1146.01 FROM AMERICAN INTEGRITY
RECD PARTIAL PYMNT $1508.75 CK #42943--
EMAILED BROOK AS TO WHY THERE'S A PARTIAL PAYMENT..HER NOTE IN XACT (BEFORE WE RECD THE PYMNT) STATES 
Nexxus    
PR AI - $1,654.76  ($1,000 Deductible)  
ADVSD BROOK WE'VE NEVER BEEN RESPONSIBLE FOR A DEDUCTIBLE BEFORE -- IS THIS SOMETHING NEW? WAITING ON REPLY...

piad 140.01 in fees"
"1433","CK#37678"
"1434","CK#00076533"
"1435","LESS DCMG FEE: $69.40 CK#2156"
"1436","CK#5021074"
"1437","LESS DCMG FEE: $77.57  CK#2175"
"1438","AUTO CLUB INSURANCE CK#759935"
"1439","INSURED PAID PARTIAL VIA CC ENDING: 4200
DCMG CK#1551  LESS FEE: $363.73"
"1440","LESS NEXXUS FEE: $252.76  CK#43125"
"1441","LESS DCMG FEE: $64.02   CK#2190"
"1443","CK#57456"
"1444","AUTO CLUB CK#763406"
"1445","ACH"
"1446","CK #1247"
"1447","ACH"
"1448","LESS SEDGWICK FEE: $65.76  ACH"
"1449","PROGRESSIVE CK#0162928"
"1450","LESS DCMG FEE: $88.91  CK#2276"
"1451","CK#56592"
"1452","CK #756674"
"1453","ACH"
"1454","ACH"
"1456","CK#400156
Overpayment of $6.80 from Insurance ck#400156 $7753.91 had to adjust invoice to balance"
"1457","UPC CK#102545"
"1459","MAISON CK#60511"
"1460","ACH"
"1461","UPC CK#5013360"
"1462","CK#3497"
"1463","CK#69691"
"1464","ACH"
"1465","CK #56844"
"1467","ACH"
"1468","LESS DCMG FEE: $70.89  CK#2276"
"1471","CK#3497"
"1472","PAYMENT FROM LIGHTHOUSE EXCALIBUR INSURANCE COMPANY CK#400051"
"1473","ACH"
"1474","CK# 0136 FROM PREFERRED...LESS NEXXUS FEE: $43.18"
"1475","RECD CK #11298 FROM LAWYER...RECD ADD'L FUNDS FOR LIEN FEE/PARTIAL LAWYER FEES"
"1476","paid 1236.00 - ck 390
RECD CK #11298 FROM LAWYER...RECD ADD'L FUNDS FOR LIEN FEE/PARTIAL LAWYER FEES"
"1477","HEIDI BERGEON PAID VIA CC ENDING: 6307
$350.00 LIEN FEE WAS PAID.."
"1478","ACH"
"1480","CK#58420"
"1481","CK#25426"
"1482","CK #005229"
"1483","ACH"
"1484","ck 0090988"
"1486","AMERICAN INTEGRITY CK#0000631920"
"1487","AMERICAN INTEGRITY CK#0000631920"
"1488","ACH"
"1489","LESS DCMG FEE: $121.75 CK#2276"
"1490","ACH"
"1491","CK#1257"
"1492","ACH"
"1493","ACH"
"1495","CK#005720"
"1496","CK #36554"
"1497","LESS NEXXUS FEE: $40.26  CK#43191"
"1498","LESS DCMG FEE: $85.23  CK#2276"
"1499","CK#36554"
"1500","DISCREET CK#0096601439"
"1501","ACH"
"1502","CK #18798"
"1503","LESS NEXXUS FEE: $28.28  CK#43107"
"1504","ACH"
"1505","CK#005229"
"1507","ACH"
"1508","CK #36554"
"1510","AMERICAN INTEGRITY CK#0000624434"
"1512","PREFERRED CK#0370  LESS FEE: $84.57"
"1513","CK #1261"
"1515","CK#37789"
"1516","STATE FARM CK#1 19 192347 J"
"1517","CK#1264"
"1518","no info in QB on payment method..UNABLE TO DELETE PAYMENT AS  THIS WAS AN ERROR....PAID VIA PREFERRED CK#1483 LESS FEE: $30.00  12/18/2020"
"1521","ACH"
"1522","HO paid via cc ending 2168"
"1525","LESS NEXXUS FEE: $86.95  CK#43191"
"1526","CK #0098606182"
"1527","ACH"
"1528","ACH"
"1529","SOUTHERN FIDELITY CK#1120177"
"1530","CK #59323"
"1531","CK #5539"
"1532","CK#1261"
"1533","CK #3783"
"1534","CK#1261"
"1536","LESS DCMG FEE: $246.84   CK#2276"
"1537","LESS DCMG FEE: $119.47  CK#1006"
"1538","CK#20673"
"1539","paid via amex cc ending: 03007"
"1540","ACH"
"1542","CK#3847  MARY A JONES"
"1545","LESS DCMG FEE: $232.42  CK#2199"
"1547","CK#005398"
"1548","ACH"
"1551","RECD CK#43054 FOR THE ROOF TARP $844.07 LESS NEXXUS FEE"
"1552","ACH"
"1554","CK#005229"
"1556","LESS NEXXUS FEE: $33.00  CK#43107"
"1557","ACH"
"1558","ACH"
"1560","PREFERRED CK#0202 LESS NEXXUS VENDOR FEE: $36.00"
"1561","AUTO CLUB INSURANCE CK#759935"
"1563","FL PENN CK#086780"
"1564","Preferred fee 46.60"
"1565","LESS NEXXUS FEE: $26.48  CK#43282"
"1567","CK#0098606182"
"1569","ACH"
"1570","CK#1267"
"1572","$300 CREDIT ISSUED TO ALREADY PAID CATHERINE RIVAS JOB...PER QFB THEY REQUESTED THE CREDIT TO BE APPLIED TO THIS INVOICE
ACH"
"1574","ACH"
"1575","LESS ALACRITY FEE: $56.87  ACH"
"1576","ACH"
"1578","CK#080333"
"1579","CK#080331"
"1580","CK#080332"
"1581","CK#37878"
"1583","LESS DCMG FEE: $6.88  CK#1111"
"1584","LESS NEXXUS FEE: $79.12  CK#43249"
"1589","CK# 37878"
"1590","ACH"
"1591","ACH"
"1592","HO paid via cc ending 2168"
"1593","PAID VIA CREDIT CARD ENDING 53015"
"1594","USAA CK#0027253319"
"1595","CK#005342"
"1596","LESS DCMG FEE: $93.38 CK#2324"
"1597","ACH"
"1599","LESS DCMG FEE: $265.73  CK#2340"
"1600","ACH"
"1601","ACH"
"1602","CK#768196"
"1604","ACH"
"1605","PARTIAL PAYMENT...ACH 1/10/2020 $500
PARTIAL PAYMENT...ACH 1/31/2020 $500
RB PAID...ACH 2/7/2020 $715.22"
"1606","ACH"
"1608","CK#1272"
"1609","DISCREET CK#0006493182"
"1610","ACH"
"1611","ACH"
"1613","CK#762402"
"1614","ACH"
"1615","DKI CK#38127"
"1616","ach"
"1617","LESS DCMG FEE: $64.86 CK#2340"
"1618","NEXXUS CK#43946 LESS FEE: $397.37"
"1619","ACH"
"1621","ho paid via credit card...
01/04/21 Nexxus Fee paid 244.14"
"1622","BELFOR CK#1044002380"
"1623","ACH"
"1626","LESS ALACRITY FEE: $88.13  ACH"
"1628","CK# 0000076960"
"1629","LESS DCMG FEE: $33.00  C K#2324"
"1630","ACH"
"1631","ACH"
"1632","ACH"
"1633","ACH"
"1634","AAA CK#765540"
"1636","BAXTER CK#16831"
"1638","HO PAID VIA CC..."
"1640","LESS ALACRITY FEE: $25.50"
"1641","ACH"
"1642","CK#189665"
"1644","ACH"
"1645","LESS ALACRITY FEE: $132.80  ACH"
"1647","CK#0098606182"
"1648","CK #1275"
"1649","CK #70684"
"1650","CK#16801 BAXTER"
"1651","FLORIDA PENINSULA CK#00449634"
"1652","INSURED PAID VIA CC ENDING 9990"
"1653","LESS ALACRITY FEE: $65.11 VIA ACH"
"1654","LESS DCMG FEE: $144.95  CK#1006"
"1655","ACH"
"1656","ACH"
"1658","CK#37984"
"1659","CK#1275"
"1660","INSURED PAID CK#1515"
"1661","ACH"
"1662","ACH"
"1663","CK#00452152"
"1664","INSURED PAID VIA CC ENDING 9990"
"1666","NEXXUS CK#43575 LESS NEXXUS FEE: $52.06"
